requirement_id	request_clause	decision	normative_owner	tests	status
R11	§2 ClosureCapture	first source-use order and later-use reuse independent of map order	GENERATOR_EVIDENCE_CONTRACT §5	T-GEN-CAPTURE-01; T-GEN-CAPTURE-02; T-GEN-CAPTURE-03	CLOSED
R12	§2 candidate roles	direct index/dialogue production tests preserve root0, shared target, per-kind preorder, separation, non-reuse	GENERATOR_EVIDENCE_CONTRACT §6	T-GEN-CAND-INDEX-01; T-GEN-CAND-DIALOGUE-01; T-GEN-CAND-PERTURB-01; T-GEN-CAND-LIMIT-01; T-GEN-CAND-LIMIT-02; T-CAND-01; T-CAND-02; T-CAND-03; T-CAND-04	CLOSED
R13	§2 boundary/rollback	0..1023 structural; exact1024 aggregate commits; one-over rolls back full producer transaction	CONSTRUCTOR_AND_TRANSACTION_CONTRACT §§3,5	T-GEN-RECOVERY-03; T-GEN-TEMP-03; T-GEN-BIND-03; T-GEN-CAPTURE-03; T-GEN-CAND-LIMIT-01; T-GEN-CAND-LIMIT-02; T-LIMIT-01; T-LIMIT-02; T-LIMIT-03	CLOSED
R14	§3 NotYetLive	exact id,snapshot,born payload	RUST_SCHEMAS §5	T-LIVE-02	CLOSED
R15	§3 Retired	exact id,snapshot,retired_at payload; no last_live	RUST_SCHEMAS §5	T-LIVE-03	CLOSED
R16	§4 full table	all21 roles and arbitrary-u32 predicates restated	ROLE_OWNER_ORDINAL_MATRIX.tsv; RUST_SCHEMAS §3	T-ROLE-01; T-ROLE-02; T-ROLE-03; T-ROLE-04; T-ROLE-05; T-ROLE-06; T-ROLE-07; T-ROLE-08; T-ROLE-09; T-ROLE-10; T-ROLE-11; T-ROLE-12; T-ROLE-13; T-ROLE-14; T-ROLE-15; T-ROLE-16; T-ROLE-17; T-ROLE-18; T-ROLE-19; T-ROLE-20; T-ROLE-21	CLOSED
R17	§4 constructor precedence	WrongOwnerKind before InvalidOrdinal; liveness separate	RUST_SCHEMAS §4; constructor contract §1	T-ERROR-01; T-ERROR-02; T-ERROR-03; T-LIVE-01; T-LIVE-02; T-LIVE-03; T-LIVE-04	CLOSED
R18	§4 fingerprint	51-byte layout/tags/vectors/digest boundary retained byte-for-byte	FINGERPRINT_TRANSCRIPT.md	T-FP-01; T-FP-02; T-FP-03; T-FP-04; T-FP-05; T-FP-06	CLOSED
R19	§4 body/arm schemas	no body/arm carrier or payload change	RUST_SCHEMAS §6; AFFECTED_LOWERING_ROWS	T-TAIL-PREDICATE-01; T-TAIL-PROOF-UNIT-01; T-TAIL-PROOF-NONUNIT-01; T-TAIL-MATCH-01	CLOSED
R20	constraints	no Syntax/raw owner, wrapper, alias, dual reader, reparse, source gate, CSS/Takumi, old Dialogue repair	PREDECESSOR_PRECEDENCE; implementation order	T-COMPILE-01; T-COMPILE-02; T-COMPILE-03; T-COMPILE-04; T-MIGRATION-01	CLOSED
R21	required return	single standalone ZIP; all sidecars internal; exact none/status/manifest	README; FINAL_STATUS; OPEN_QUESTIONS; MANIFEST	artifact validation	CLOSED
