subtest_id	parent_test_id	covers_row	owner_kind	assertion	exact_boundary	one_over_or_negative	status
T-RB-08	T-ROLLBACK-01	E08	ExprId	force the row-specific hard allocation/limit failure for Tuple	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-09	T-SOURCE-01	E09	ExprId	query every applicable role/ordinal for BracketSequence; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-09	T-ROLLBACK-01	E09	ExprId	force the row-specific hard allocation/limit failure for BracketSequence	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-10	T-SOURCE-01	E10	ExprId	query every applicable role/ordinal for NumericBracketSequence; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-10	T-ROLLBACK-01	E10	ExprId	force the row-specific hard allocation/limit failure for NumericBracketSequence	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-11	T-SOURCE-01	E11	ExprId	query every applicable role/ordinal for ArrayRepeat; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-11	T-ROLLBACK-01	E11	ExprId	force the row-specific hard allocation/limit failure for ArrayRepeat	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-12	T-SOURCE-01	E12	ExprId	query every applicable role/ordinal for Call; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-12	T-ROLLBACK-01	E12	ExprId	force the row-specific hard allocation/limit failure for Call	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-13	T-SOURCE-01	E13	ExprId	query every applicable role/ordinal for Select; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-13	T-ROLLBACK-01	E13	ExprId	force the row-specific hard allocation/limit failure for Select	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-14	T-SOURCE-01	E14	ExprId	query every applicable role/ordinal for Index; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-14	T-ROLLBACK-01	E14	ExprId	force the row-specific hard allocation/limit failure for Index	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-15	T-SOURCE-01	E15	ExprId	query every applicable role/ordinal for Pipe; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-15	T-ROLLBACK-01	E15	ExprId	force the row-specific hard allocation/limit failure for Pipe	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-16	T-SOURCE-01	E16	ExprId	query every applicable role/ordinal for Try; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-16	T-ROLLBACK-01	E16	ExprId	force the row-specific hard allocation/limit failure for Try	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-17	T-SOURCE-01	E17	ExprId	query every applicable role/ordinal for Await; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-17	T-ROLLBACK-01	E17	ExprId	force the row-specific hard allocation/limit failure for Await	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-18	T-SOURCE-01	E18	ExprId	query every applicable role/ordinal for Thread; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-18	T-ROLLBACK-01	E18	ExprId	force the row-specific hard allocation/limit failure for Thread	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-19	T-SOURCE-01	E19	ExprId	query every applicable role/ordinal for Range; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-19	T-ROLLBACK-01	E19	ExprId	force the row-specific hard allocation/limit failure for Range	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-20	T-SOURCE-01	E20	ExprId	query every applicable role/ordinal for Record; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-20	T-ROLLBACK-01	E20	ExprId	force the row-specific hard allocation/limit failure for Record	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-21	T-SOURCE-01	E21	ExprId	query every applicable role/ordinal for RecordLiteral; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-21	T-ROLLBACK-01	E21	ExprId	force the row-specific hard allocation/limit failure for RecordLiteral	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-22	T-SOURCE-01	E22	ExprId	query every applicable role/ordinal for Binary; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-22	T-ROLLBACK-01	E22	ExprId	force the row-specific hard allocation/limit failure for Binary	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-23	T-SOURCE-01	E23	ExprId	query every applicable role/ordinal for Borrow; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-23	T-ROLLBACK-01	E23	ExprId	force the row-specific hard allocation/limit failure for Borrow	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-24	T-SOURCE-01	E24	ExprId	query every applicable role/ordinal for Dereference; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-24	T-ROLLBACK-01	E24	ExprId	force the row-specific hard allocation/limit failure for Dereference	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-25	T-SOURCE-01	E25	ExprId	query every applicable role/ordinal for Closure; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-25	T-ROLLBACK-01	E25	ExprId	force the row-specific hard allocation/limit failure for Closure	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-26	T-SOURCE-01	E26	ExprId	query every applicable role/ordinal for Unary; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-26	T-ROLLBACK-01	E26	ExprId	force the row-specific hard allocation/limit failure for Unary	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-27	T-SOURCE-01	E27	ExprId	query every applicable role/ordinal for Block; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-27	T-ROLLBACK-01	E27	ExprId	force the row-specific hard allocation/limit failure for Block	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-28	T-SOURCE-01	E28	ExprId	query every applicable role/ordinal for ComputationBlock; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-28	T-ROLLBACK-01	E28	ExprId	force the row-specific hard allocation/limit failure for ComputationBlock	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-29	T-SOURCE-01	E29	ExprId	query every applicable role/ordinal for NamedBlock; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-29	T-ROLLBACK-01	E29	ExprId	force the row-specific hard allocation/limit failure for NamedBlock	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-30	T-SOURCE-01	E30	ExprId	query every applicable role/ordinal for If; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-30	T-ROLLBACK-01	E30	ExprId	force the row-specific hard allocation/limit failure for If	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-31	T-SOURCE-01	E31	ExprId	query every applicable role/ordinal for IfLet; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-31	T-ROLLBACK-01	E31	ExprId	force the row-specific hard allocation/limit failure for IfLet	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-32	T-SOURCE-01	E32	ExprId	query every applicable role/ordinal for Match; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-32	T-ROLLBACK-01	E32	ExprId	force the row-specific hard allocation/limit failure for Match	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-33	T-SOURCE-01	E33	ExprId	query every applicable role/ordinal for DialogueContentApplication; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-33	T-ROLLBACK-01	E33	ExprId	force the row-specific hard allocation/limit failure for DialogueContentApplication	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-34	T-SOURCE-01	E34	ExprId	query every applicable role/ordinal for PostfixBracket; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-34	T-ROLLBACK-01	E34	ExprId	force the row-specific hard allocation/limit failure for PostfixBracket	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-35	T-SOURCE-01	E35	ExprId	query every applicable role/ordinal for Error; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-35	T-ROLLBACK-01	E35	ExprId	force the row-specific hard allocation/limit failure for Error	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-01	T-SOURCE-01	P01	PatternId	query every applicable role/ordinal for Binding; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-01	T-ROLLBACK-01	P01	PatternId	force the row-specific hard allocation/limit failure for Binding	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-02	T-SOURCE-01	P02	PatternId	query every applicable role/ordinal for MutableBinding; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-02	T-ROLLBACK-01	P02	PatternId	force the row-specific hard allocation/limit failure for MutableBinding	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-03	T-SOURCE-01	P03	PatternId	query every applicable role/ordinal for Literal; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-03	T-ROLLBACK-01	P03	PatternId	force the row-specific hard allocation/limit failure for Literal	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-04	T-SOURCE-01	P04	PatternId	query every applicable role/ordinal for EntityReference; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-04	T-ROLLBACK-01	P04	PatternId	force the row-specific hard allocation/limit failure for EntityReference	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-05	T-SOURCE-01	P05	PatternId	query every applicable role/ordinal for Variant(HirVariantPattern); assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-05	T-ROLLBACK-01	P05	PatternId	force the row-specific hard allocation/limit failure for Variant(HirVariantPattern)	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-06	T-SOURCE-01	P06	PatternId	query every applicable role/ordinal for Discard; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-06	T-ROLLBACK-01	P06	PatternId	force the row-specific hard allocation/limit failure for Discard	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-07	T-SOURCE-01	P07	PatternId	query every applicable role/ordinal for Tuple; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-07	T-ROLLBACK-01	P07	PatternId	force the row-specific hard allocation/limit failure for Tuple	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-08	T-SOURCE-01	P08	PatternId	query every applicable role/ordinal for Record; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-08	T-ROLLBACK-01	P08	PatternId	force the row-specific hard allocation/limit failure for Record	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-09	T-SOURCE-01	P09	PatternId	query every applicable role/ordinal for BracketSequence; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-09	T-ROLLBACK-01	P09	PatternId	force the row-specific hard allocation/limit failure for BracketSequence	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-10	T-SOURCE-01	P10	PatternId	query every applicable role/ordinal for WholeBinding; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-10	T-ROLLBACK-01	P10	PatternId	force the row-specific hard allocation/limit failure for WholeBinding	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-11	T-SOURCE-01	P11	PatternId	query every applicable role/ordinal for TypedBinding; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-11	T-ROLLBACK-01	P11	PatternId	force the row-specific hard allocation/limit failure for TypedBinding	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-PQ-12	T-SOURCE-01	P12	PatternId	query every applicable role/ordinal for Error; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-PRB-12	T-ROLLBACK-01	P12	PatternId	force the row-specific hard allocation/limit failure for Error	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-01	T-SOURCE-01	C01	ExprId	query every applicable role/ordinal for HirCallArgument::Positional; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-01	T-ROLLBACK-01	C01	ExprId	force the row-specific hard allocation/limit failure for HirCallArgument::Positional	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-02	T-SOURCE-01	C02	ExprId	query every applicable role/ordinal for HirCallArgument::Named; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-02	T-ROLLBACK-01	C02	ExprId	force the row-specific hard allocation/limit failure for HirCallArgument::Named	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-03	T-SOURCE-01	C03	ExprId	query every applicable role/ordinal for HirCallArgument::Spread; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-03	T-ROLLBACK-01	C03	ExprId	force the row-specific hard allocation/limit failure for HirCallArgument::Spread	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-04	T-SOURCE-01	C04	ExprId	query every applicable role/ordinal for HirRecordField::Explicit; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-04	T-ROLLBACK-01	C04	ExprId	force the row-specific hard allocation/limit failure for HirRecordField::Explicit	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-05	T-SOURCE-01	C05	ExprId	query every applicable role/ordinal for HirRecordField::Shorthand; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-05	T-ROLLBACK-01	C05	ExprId	force the row-specific hard allocation/limit failure for HirRecordField::Shorthand	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-06	T-SOURCE-01	C06	ExprId	query every applicable role/ordinal for HirClosureParameter; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-06	T-ROLLBACK-01	C06	ExprId	force the row-specific hard allocation/limit failure for HirClosureParameter	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
