owner,method,visibility,input,output,checked_before_return
AwbcProgramBuilder,push_task_plan,pub,AwbcTaskPlan,"Result<AwbcTaskPlanId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_audio_command,pub,AwbcAudioCommand,"Result<AwbcAudioCommandId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_effect_plan,pub,AwbcEffectPlan,"Result<AwbcEffectPlanId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_choice,pub,AwbcChoice,"Result<AwbcChoiceId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_choice_option,pub,AwbcChoiceOption,"Result<AwbcChoiceOptionId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_content_unit,pub,AwbcContentUnit,"Result<AwbcContentUnitId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_line_task_group,pub,AwbcLineTaskGroup,"Result<AwbcLineTaskGroupId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_line_task_node,pub,AwbcLineTaskNode,"Result<AwbcLineTaskNodeId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_stream_plan,pub,AwbcStreamPlan,"Result<AwbcStreamPlanId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_source_plan,pub,AwbcSourcePlan,"Result<AwbcSourcePlanId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_pure_helper,pub,AwbcPureHelper,"Result<AwbcPureHelperId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_trait_method,pub,AwbcTraitMethod,"Result<AwbcTraitMethodId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_display_map,pub,AwbcDisplayMapEntry,"Result<AwbcDisplayMapId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_source_map,pub,AwbcSourceMapEntry,"Result<AwbcSourceMapId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_resource,pub,AwbcResourceRef,"Result<AwbcResourceId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_callable_executable,pub,AwbcCallableExecutable,"Result<u32, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_flow_binding,pub,AwbcFlowBinding,"Result<u32, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_flow_executable,pub,AwbcFlowExecutable,"Result<u32, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_entry,pub,AwbcEntry,"Result<AwbcEntryId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_typed_origin,pub,AwbcTypedOrigin,"Result<(), AwbcProgramBuildError>",canonical pair order; exact duplicate pair rejection; no root/type payload
AwbcProgramBuilder,finish,pub,self,"Result<AwbcProgram, AwbcProgramBuildError>",all ranges/references; typed graph cycles; exact site enumeration; atomic publication
