path,commit,sha256,bytes,lines,retrieval,evidence,raw_url
crates/arcweft-core/src/awbc/schema.rs,80348beed0efa72db07f712122217b4e679e0a97,1cd41c9e7ec343d6c5aa7e03049077196c3a95fc548582c9b722d643c165d037,65006,2181,commit-pinned raw GitHub capture,current AWBC program/effect/audio values/commands,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/awbc/schema.rs
crates/arcweft-core/src/awbc/type_projection.rs,80348beed0efa72db07f712122217b4e679e0a97,2ef709d0c81aa7bd5ce05800a8b4a3fb7dacd209430f1c3e567cae05b6f5e695,13742,314,commit-pinned raw GitHub capture,current AWBC checked projection,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/awbc/type_projection.rs
crates/arcweft-core/src/awbc/verify.rs,80348beed0efa72db07f712122217b4e679e0a97,b9bc163ab75bb775094e81414c2b66c231bbb0052242f7ec5da780c6b5394fd8,7701,198,commit-pinned raw GitHub capture,current structural verifier order,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/awbc/verify.rs
crates/arcweft-runtime-plan/Cargo.toml,80348beed0efa72db07f712122217b4e679e0a97,64ec0d947691094bad5eeeb10f20ab6cd8b77d985d89bed309c9914925b5897d,718,30,commit-pinned raw GitHub capture,runtime-plan depends on core as an external crate,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-runtime-plan/Cargo.toml
crates/arcweft-runtime-plan/src/semantic_facts.rs,80348beed0efa72db07f712122217b4e679e0a97,37ca1d3f0816f211ef6dc96dd0c553dea9496a532e3c029a01506932dea0d71f,90451,2527,commit-pinned raw GitHub capture,accepted semantic facts and unsupported root families,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-runtime-plan/src/semantic_facts.rs
crates/arcweft-runtime-plan/src/final_expr.rs,80348beed0efa72db07f712122217b4e679e0a97,d57fd77a6899cee757dd1175d07f3448aec559ad1be554f16b52b4897589fde8,36942,885,commit-pinned raw GitHub capture,real final expression lowerer owner,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-runtime-plan/src/final_expr.rs
crates/arcweft-runtime-plan/src/awbc_lower.rs,80348beed0efa72db07f712122217b4e679e0a97,41c2f9af46cfce7e9d8094060d6ec63af2dfd48c63c1ba013028f53410ec0a9f,5483,170,commit-pinned raw GitHub capture,real plan-to-AWBC external lowerer owner,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-runtime-plan/src/awbc_lower.rs
crates/arcweft-compiler/Cargo.toml,80348beed0efa72db07f712122217b4e679e0a97,0d44cdae065b9bea830b60f205b06f385b42aba9b1b72490f12a4b25d2f0d8d1,1435,48,commit-pinned raw GitHub capture,compiler can see core/runtime-plan/sema/catalog layers,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-compiler/Cargo.toml
crates/arcweft-bundle/src/lib.rs,80348beed0efa72db07f712122217b4e679e0a97,44e5e6a02b2162902b2f69dd1d887bceba6e5d090a736cabcf5d393f3b6edf8e,89531,2422,commit-pinned raw GitHub capture,current public bundle/AWBC data model and version-1 bundle owner requiring a verified runtime-generation section cut,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-bundle/src/lib.rs
crates/arcweft-runtime-driver/Cargo.toml,80348beed0efa72db07f712122217b4e679e0a97,bc4da87ad4e5b0aa890e433aee63743c412faa8fb1d78243dee9f45a96239079,1108,38,commit-pinned raw GitHub capture,driver current dependency direction,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-runtime-driver/Cargo.toml
crates/arcweft-runtime-driver/src/session_save.rs,80348beed0efa72db07f712122217b4e679e0a97,60230d55908a5fcfebdb77d53efea8e67424be1ee95ebd22bd57f6347bfbd78c,15050,372,commit-pinned raw GitHub capture,current raw-program/string-path restore surface,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-runtime-driver/src/session_save.rs
docs/reviews/requests/2026-08-14-lang-01.3.1.2.3.2.1.2.1.1.1.1-external-lowering-and-independent-generation-admission-authority-correction.md,80348beed0efa72db07f712122217b4e679e0a97,2498106d805515f2fba326ef55685a8699aec2ab1abb986e22bc2f0a1f984cc6,11995,206,GitHub commit patch reconstruction,complete maintained request; copied byte-for-byte,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/docs/reviews/requests/2026-08-14-lang-01.3.1.2.3.2.1.2.1.1.1.1-external-lowering-and-independent-generation-admission-authority-correction.md
docs/implementation/2026-08-14-checked-value-root-site-return-invalid.md,80348beed0efa72db07f712122217b4e679e0a97,ae65fe08eef40fb6e25d181323cd289b7bc2d07611ee32024202ec3db11e909e,6547,119,GitHub commit patch reconstruction,eight exact residual blockers that this package closes,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/docs/implementation/2026-08-14-checked-value-root-site-return-invalid.md
