row_class,site_variant,slot,current_owner,current_field_path,mandatory_final_field_or_wrapper,lowering_source,admission_resolution,deliberate_exclusion
direct_runtime_plan_typed_site,FlowExpression,ExitScopeBind.Value,FlowOp::ExitScopeBind,expr,expr: RuntimeTypedExpr,final_flow lowering fact for ExitScopeBind.expr,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,Await.Argument(argument:u32),FlowOp::Await,target.request.args[i],HostTaskArgTemplate values / host args become RuntimeTypedExpr,accepted host/task call parameter facts for Await,argument index bounds; positional/named/spread mode retained; parameter type exact,
direct_runtime_plan_typed_site,FlowExpression,AwaitMany.Argument(argument:u32),FlowOp::AwaitMany,target.request.args[i],HostTaskArgTemplate values / host args become RuntimeTypedExpr,accepted host/task call parameter facts for AwaitMany,argument index bounds; positional/named/spread mode retained; parameter type exact,
direct_runtime_plan_typed_site,FlowExpression,HostCall.Argument(argument:u32),FlowOp::HostCall,target.args[i],HostTaskArgTemplate values / host args become RuntimeTypedExpr,accepted host/task call parameter facts for HostCall,argument index bounds; positional/named/spread mode retained; parameter type exact,
direct_runtime_plan_typed_site,FlowExpression,EvaluatedEffect.Argument(argument:u32),FlowOp::EvaluatedEffect,RuntimeEffectExpr::argument_exprs()[i],each RuntimeEffectExpr value field becomes RuntimeTypedExpr,accepted effect ABI fact,stable argument_exprs order; exact parameter type; Assert/Ensure condition Bool,
deliberate_exclusion,FlowExpression,RegisterCleanup.EffectArgument(argument:u32),FlowOp::RegisterCleanup,effect descriptor has no RuntimeExpr today,no typed site unless effect is changed to RuntimeEffectExpr,current source contains LineEffectRequest text/static payload only,excluded; no raw RuntimeValue is published from this field,static/text effect descriptor only
direct_runtime_plan_typed_site,FlowPattern,Let.Pattern,FlowOp::Let,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for Let,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,LetElse.Pattern,FlowOp::LetElse,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for LetElse,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,Await.Binding,FlowOp::Await,binding,binding: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for Await,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,AwaitMany.Binding,FlowOp::AwaitMany,binding,binding: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for AwaitMany,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,HostCall.Binding,FlowOp::HostCall,binding,binding: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for HostCall,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,IfLet.Pattern,FlowOp::IfLet,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for IfLet,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,Match.ArmPattern(arm:u32),FlowOp::Match,arms[arm].pattern,arms[arm].pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for Match,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,LetLoop.Pattern,FlowOp::LetLoop,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for LetLoop,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,WhileLet.Pattern,FlowOp::WhileLet,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for WhileLet,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,WhileLetNext.Pattern,FlowOp::WhileLetNext,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for WhileLetNext,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,For.Pattern,FlowOp::For,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for For,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,ForNext.Pattern,FlowOp::ForNext,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for ForNext,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,LetScope.Pattern,FlowOp::LetScope,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for LetScope,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
direct_runtime_plan_typed_site,FlowPattern,ExitScopeBind.Pattern,FlowOp::ExitScopeBind,pattern,pattern: RuntimeTypedPattern,final_pattern/final_flow accepted expected-type fact for ExitScopeBind,resolve expected type from paired expression/task result/iterator item/scope result; verify complete pattern node/binding facts,
deliberate_exclusion,FlowCoordinate,LetElseElse(op:u32),FlowOp::LetElse,else_ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,IfThen(op:u32),FlowOp::If,then_ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,IfElse(op:u32),FlowOp::If,else_ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,IfLetThen(op:u32),FlowOp::IfLet,then_ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,IfLetElse(op:u32),FlowOp::IfLet,else_ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,"MatchArm { arm:u32, op:u32 }",FlowOp::Match,arms[arm].ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,LoopBody(op:u32),FlowOp::Loop,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,LetLoopBody(op:u32),FlowOp::LetLoop,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,LoopNextBody(op:u32),FlowOp::LoopNext,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,WhileBody(op:u32),FlowOp::While,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,WhileNextBody(op:u32),FlowOp::WhileNext,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,WhileLetBody(op:u32),FlowOp::WhileLet,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,WhileLetNextBody(op:u32),FlowOp::WhileLetNext,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,ForBody(op:u32),FlowOp::For,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,ForNextBody(op:u32),FlowOp::ForNext,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,ThreadBody(op:u32),FlowOp::Thread,body,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,ScopeBody(op:u32),FlowOp::Scope,0,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,FlowCoordinate,LetScopeBody(op:u32),FlowOp::LetScope,ops,RuntimeFlowOpCoordinate.descent: Box<[RuntimeFlowOpStep]>,actual nested enum ownership,each step validates parent variant and child bounds; no numeric variant inference,coordinate only; not a type root
deliberate_exclusion,Excluded,Dialogue,FlowOp::Dialogue,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,line/task_group identities only
deliberate_exclusion,Excluded,Choice,FlowOp::Choice,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,labels/flow targets/static out text/effects only
deliberate_exclusion,Excluded,Loop,FlowOp::Loop,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,container only
deliberate_exclusion,Excluded,LoopNext,FlowOp::LoopNext,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,container only
deliberate_exclusion,Excluded,Thread,FlowOp::Thread,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,container only
deliberate_exclusion,Excluded,Scope,FlowOp::Scope,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,container only
deliberate_exclusion,Excluded,Continue,FlowOp::Continue,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,control only
deliberate_exclusion,Excluded,Goto,FlowOp::Goto,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,FlowRuntimeId only
deliberate_exclusion,Excluded,Return,FlowOp::Return,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,legacy String return only
deliberate_exclusion,Excluded,Effect,FlowOp::Effect,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,LineEffectRequest static/text payload only
deliberate_exclusion,Excluded,CancelCleanup,FlowOp::CancelCleanup,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,string key only
deliberate_exclusion,Excluded,EnterScope,FlowOp::EnterScope,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,control only
deliberate_exclusion,Excluded,ExitScope,FlowOp::ExitScope,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,control only
deliberate_exclusion,Excluded,Noop,FlowOp::Noop,entire variant,no RuntimePlanTypedSite emitted,current source inspection,structural validation only,control only
deliberate_exclusion,Excluded,ForNext.iterator,FlowOp::ForNext,iterator: RuntimeIterator,no root site; continuation-owned iterator state,current source inspection,ownership/nesting validation only,not an authored plan semantic root
deliberate_exclusion,Excluded,Return(String),FlowOp::Return,legacy text result,delete when ReturnExpr migration completes; no typed row,current source inspection,source text never becomes a root,legacy non-RuntimeValue payload
direct_runtime_plan_typed_site,Stream,Item,StreamPlan,item_ty: String,item_type: RuntimePlanTypeId,accepted stream item type,declaration exact; no string parsing,
direct_runtime_plan_typed_site,Stream,Error,StreamPlan,error_ty: String,error_type: RuntimePlanTypeId,accepted stream error type,declaration exact; no string parsing,
direct_runtime_plan_typed_site,StreamExpression,Let.Value,StreamOp::Let,expr,expr: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamExpression,ForNext.Source,StreamOp::ForNext,source,source: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamExpression,Yield.Value,StreamOp::Yield,expr,expr: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamExpression,If.Condition,StreamOp::If,condition,condition: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamExpression,Match.Scrutinee,StreamOp::Match,scrutinee,scrutinee: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamExpression,Match.ArmGuard(arm:u32),StreamOp::Match,arms[arm].guard,arms[arm].guard: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamExpression,Close.Source,StreamOp::Close,source,source: RuntimeTypedExpr,accepted stream transform expression fact,resolve Stream op coordinate and exact node facts,
direct_runtime_plan_typed_site,StreamPattern,Let.Pattern,StreamOp::Let,pattern,pattern: RuntimeTypedPattern,accepted stream expected-type fact,Let from expression; ForNext from item; Match from scrutinee,
direct_runtime_plan_typed_site,StreamPattern,ForNext.Pattern,StreamOp::ForNext,pattern,pattern: RuntimeTypedPattern,accepted stream expected-type fact,Let from expression; ForNext from item; Match from scrutinee,
direct_runtime_plan_typed_site,StreamPattern,Match.ArmPattern(arm:u32),StreamOp::Match,arms[arm].pattern,arms[arm].pattern: RuntimeTypedPattern,accepted stream expected-type fact,Let from expression; ForNext from item; Match from scrutinee,
deliberate_exclusion,Excluded,Stream.Return,StreamOp::Return,no value,no typed site,current source inspection,control only,deliberate
direct_runtime_plan_typed_site,Source,Item,SourcePlan,item_ty: String,item_type: RuntimePlanTypeId,accepted source item type,declaration exact; no string parsing,
direct_runtime_plan_typed_site,Source,Error,SourcePlan,error_ty: String,error_type: RuntimePlanTypeId,accepted source error type,declaration exact; no string parsing,
direct_runtime_plan_typed_site,SourceExpression,Open.Node(path),SourcePlan,from: RuntimeExpr,from: RuntimeTypedExpr,accepted source-open expression,complete node facts,
direct_runtime_plan_typed_site,SourcePattern,Item.Pattern.Node(path),SourceHandlerPlan::Item,pattern,pattern: RuntimeTypedPattern,accepted source event fact,expected resolves from item_type; complete node/binding facts,
direct_runtime_plan_typed_site,SourcePattern,Error.Pattern.Node(path),SourceHandlerPlan::Error,pattern,pattern: RuntimeTypedPattern,accepted source event fact,expected resolves from error_type; complete node/binding facts,
direct_runtime_plan_typed_site,SourcePattern,Progress.Pattern.Node(path),SourceHandlerPlan::Progress,pattern,pattern: RuntimeTypedPattern,accepted source event fact,expected resolves from canonical progress type; complete node/binding facts,
direct_runtime_plan_typed_site,SourceExpression,Item.Yield(op:u32).Node(path),SourceHandlerPlan::Item,ops[j] where SourceOp::Yield(expr),expr: RuntimeTypedExpr,accepted handler operation fact,handler/op bounds; node table exact,
direct_runtime_plan_typed_site,SourceExpression,Error.Yield(op:u32).Node(path),SourceHandlerPlan::Error,ops[j] where SourceOp::Yield(expr),expr: RuntimeTypedExpr,accepted handler operation fact,handler/op bounds; node table exact,
direct_runtime_plan_typed_site,SourceExpression,Progress.Yield(op:u32).Node(path),SourceHandlerPlan::Progress,ops[j] where SourceOp::Yield(expr),expr: RuntimeTypedExpr,accepted handler operation fact,handler/op bounds; node table exact,
direct_runtime_plan_typed_site,SourceExpression,Disconnected.Yield(op:u32).Node(path),SourceHandlerPlan::Disconnected,ops[j] where SourceOp::Yield(expr),expr: RuntimeTypedExpr,accepted handler operation fact,handler/op bounds; node table exact,
direct_runtime_plan_typed_site,SourceExpression,PermissionRevoked.Yield(op:u32).Node(path),SourceHandlerPlan::PermissionRevoked,ops[j] where SourceOp::Yield(expr),expr: RuntimeTypedExpr,accepted handler operation fact,handler/op bounds; node table exact,
direct_runtime_plan_typed_site,SourceExpression,End.Yield(op:u32).Node(path),SourceHandlerPlan::End,ops[j] where SourceOp::Yield(expr),expr: RuntimeTypedExpr,accepted handler operation fact,handler/op bounds; node table exact,
deliberate_exclusion,Excluded,SourceEffect/TextOps,"SourceOp::{Effect,SignalWrite,Log,Close}",static/text payloads,no typed site unless owner becomes RuntimeEffectExpr,current source inspection,structural validation only,no RuntimeExpr in current field
direct_runtime_plan_typed_site,SourceExpression,EvaluatedEffect.Argument(argument:u32),SourceOp::EvaluatedEffect,RuntimeEffectExpr arguments,typed expressions,accepted effect ABI fact,stable argument order and exact types,
deliberate_exclusion,Excluded,LineOptionRequest,LineTaskGroup.options[i].value: String,string value,must lower directly to typed AWBC constant; no RuntimePlan root row is fabricated,line_task.rs current source,reject plan-to-AWBC origin claim from this field,current raw owner retains only source/display text
deliberate_exclusion,Excluded,LineBindingRequest,"LineTaskGroup.bindings[i].{pattern,value}: String",strings,must lower before final RuntimePlan admission or be omitted from typed roots,line_task.rs current source,no semantic ID can be recomputed,current raw owner lacks typed evidence
deliberate_exclusion,Excluded,LineOutRequest,LineTaskGroup.out[i].value: String,string,must lower before final RuntimePlan admission or remain non-root legacy text,line_task.rs current source,no semantic ID can be recomputed,current raw owner lacks typed evidence
