id,layer,path,surface,current_state,final_decision,gate,evidence
CVRS-INV-00012,core checked validation,crates/arcweft-core/src/pattern.rs,Sequence item,current boolean validation has no structured dual path for Sequence item,type path SequenceItem(u64); canonical value path SequenceElement(u64); enumerate actual items; usize -> u64 checked; budget/depth; outer Sequence; length/iteration; index conversion; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00013,core checked validation,crates/arcweft-core/src/pattern.rs,Bytes item,current boolean validation has no structured dual path for Bytes item,type path SequenceItem(u64); canonical value path SequenceElement(u64); same physical sequence index; expected child is Unsigned(U8); budget/depth; outer Sequence; index conversion; U8 child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00014,core checked validation,crates/arcweft-core/src/pattern.rs,Tuple item,current boolean validation has no structured dual path for Tuple item,type path TupleItem(u32); canonical value path TupleElement(u32); usize -> u32 checked after exact tuple-length check; budget/depth; outer Tuple; length; index conversion; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00015,core checked validation,crates/arcweft-core/src/pattern.rs,Choice alternative,current boolean validation has no structured dual path for Choice alternative,type path ChoiceAlternative(u32); canonical value path no push; usize -> u32 checked before evaluating branch; budget/depth at Choice; alternative index; branch under shared budget,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00016,core checked validation,crates/arcweft-core/src/pattern.rs,Result Ok payload,current boolean validation has no structured dual path for Result Ok payload,type path ResultOk; canonical value path VariantPayload; no numeric index; owner; ordinal/name; payload presence; push; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00017,core checked validation,crates/arcweft-core/src/pattern.rs,Result Err payload,current boolean validation has no structured dual path for Result Err payload,type path ResultError; canonical value path VariantPayload; no numeric index; owner; ordinal/name; payload presence; push; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00018,core checked validation,crates/arcweft-core/src/pattern.rs,Option Some payload,current boolean validation has no structured dual path for Option Some payload,type path OptionSome; canonical value path VariantPayload; no numeric index; owner; ordinal/name; payload presence; push; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00019,core checked validation,crates/arcweft-core/src/pattern.rs,Option None,current boolean validation has no structured dual path for Option None,type path no push; canonical value path no push; no child; owner; ordinal/name; payload absence; success,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00020,core checked validation,crates/arcweft-core/src/pattern.rs,Opaque payload,current boolean validation has no structured dual path for Opaque payload,"generic checked validation is atomic owner-only: no payload lookup, recursion, type/value path push, depth increment, or payload work",P08,CHECKED_VALIDATION_API.md + CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00021,core checked validation,crates/arcweft-core/src/pattern.rs,Nominal/closed Variant payload,current boolean validation has no structured dual path for Nominal/closed Variant payload,type path VariantPayload { ordinal:u32 }; canonical value path VariantPayload; raw ordinal already u32; owner; ordinal; canonical name; payload presence; push; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00022,core checked validation,crates/arcweft-core/src/pattern.rs,Nominal record field,current boolean validation has no structured dual path for Nominal record field,type path NominalField(RuntimeRecordFieldId); canonical value path NominalRecordField(RuntimeRecordFieldId); field IDs derived one-based in defining order with checked u32 conversion; lookup; identity; layout; count; field ID; push; child,P4,CHECKED_PATH_PUSH_RULES.csv
CVRS-INV-00023,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Unit,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Unit,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00024,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Bool,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Bool,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00025,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Int,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Signed,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00026,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::UInt,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Unsigned,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00027,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::F32,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::F32,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00028,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::F64,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::F64,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00029,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::MatrixF32,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::MatrixF32,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00030,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::MatrixF64,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::MatrixF64,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00031,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::TensorF32,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::TensorF32,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00032,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::TensorF64,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::TensorF64,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00033,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::String,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::String,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00034,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Char,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Char,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00035,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Duration,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Duration,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00036,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Range,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Range,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00037,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Iterator,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Iterator,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00038,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::EntityRef,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::EntityReference,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00039,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Tuple,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Tuple,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00040,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Seq,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Sequence,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00041,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Record,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Record,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00042,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::NominalRecord,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::NominalRecord,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00043,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Opaque,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Opaque,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00044,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Function,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Function,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00045,core runtime value,crates/arcweft-core/src/value.rs,RuntimeValue::Variant,current physical RuntimeValue family,actual checked-validation outer shape is exactly RuntimeValueShape::Variant,P4,RUNTIME_VALUE_OUTER_SHAPES.csv
CVRS-INV-00046,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Value / none,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal none; derive exact checked type from RuntimeValue plus admitted nominal/opaque descriptor; every legal expression has root [0]; non-checkable families use exact Operational declaration,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00047,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Local / none,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal none; resolve lexical binding type ID from enclosing typed owner scope; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00048,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::EntityRef / none,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal none; resolve accepted entity reference semantic type from admitted generation; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00049,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Let / expr,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; child fact; binds to declared lexical type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00050,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Let / body,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 1; root type equals body type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00051,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Tuple / items[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i; i is source/vector order; checked u32 path segment; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00052,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::BracketSeq / items[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i; i is source/vector order; checked u32 path segment; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00053,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::RepeatSeq / value,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; sequence item type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00054,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Range / start,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; reserved ordinal 0; absent optional emits no row; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00055,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Range / end,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 1; reserved ordinal 1; absent optional emits no row; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00056,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Record / fields[i].expr,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i; authored field order; row identity also checks field name/id; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00057,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::NominalRecord / initializers[i].expr,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i; authored order; scatter to defining field ID only after typed validation; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00058,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Variant / payload,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; absent optional emits no child; owner/case determines payload type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00059,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Field / target,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; projection result derives from target checked type and selected field/ordinal; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00060,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::ProjectTuple / target,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; projection result derives from target checked type and selected field/ordinal; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00061,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::ProjectRecord / target,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; projection result derives from target checked type and selected field/ordinal; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00062,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::AssignField / target,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; target aggregate type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00063,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::AssignField / expr,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 1; must equal selected field type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00064,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::AssignField / body,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 2; root type equals body type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00065,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Call / args[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i; exact accepted callable/intrinsic signature parameter i; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00066,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Function / body,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; body typed; function value itself is deliberate non-root checked-type exclusion; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00067,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Apply / callee,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; callee closure evidence; deliberate non-root result unless exact function signature exists; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00068,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Apply / args[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i+1; checked u32 add; parameter order; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00069,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::TraitCall / receiver,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; exact receiver type from RuntimeTraitMethod declaration; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00070,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::TraitCall / args[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i+1; exact trait method parameter i; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00071,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::PureCall / args[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i; exact RuntimePureHelper input_type_ids[i]; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00072,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::SpreadArg / inner,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; same child type; spread legality checked by call owner; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00073,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::MethodCall / receiver,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; resolved method receiver type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00074,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::MethodCall / args[i],raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal i+1; resolved method parameter i; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00075,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Map / source,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; sequence source type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00076,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Map / body,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 1; mapped value or predicate type under bound parameter; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00077,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Filter / source,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; sequence source type; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00078,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Filter / body,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 1; mapped value or predicate type under bound parameter; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00079,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Sum / source,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; numeric sequence source; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
CVRS-INV-00080,runtime-plan expression,crates/arcweft-core/src/value.rs,RuntimeExpr::Unary / expr,raw expression node does not retain a complete checked semantic coordinate,RuntimeTypedExpr node path ordinal 0; operator-specific operand/result rule; exact root [0] and every present child; declaration kind Checked or Operational; operational cannot emit AWBC origin/context,P02/P07,RUNTIME_EXPR_NODE_API.md + RUNTIME_PLAN_TYPE_KIND.csv + RUNTIME_EXPR_NODE_RESOLUTION.csv
