command_tag,command_variant,field_tag,rust_slot_variant,current_field,resolution,site_coordinate,effect_resolution,optional_rule,alias_rule
4,SetVoicePan,0,SetVoicePanVoice,SetVoicePan.voice,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
4,SetVoicePan,1,SetVoicePanValue,SetVoicePan.pan_milli,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
4,SetVoicePan,2,SetVoicePanTransition,SetVoicePan.transition_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
5,SetBusGain,0,SetBusGainBus,SetBusGain.bus,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
5,SetBusGain,1,SetBusGainValue,SetBusGain.gain_db_milli,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
5,SetBusGain,2,SetBusGainTransition,SetBusGain.transition_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
6,SetBusMute,0,SetBusMuteBus,SetBusMute.bus,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
6,SetBusMute,1,SetBusMuteMuted,SetBusMute.muted,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
7,SetEffectEnabled,0,SetEffectEnabledBus,SetEffectEnabled.bus,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
7,SetEffectEnabled,1,SetEffectEnabledEffect,SetEffectEnabled.effect,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
7,SetEffectEnabled,2,SetEffectEnabledEnabled,SetEffectEnabled.enabled,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
8,SetEffectParameter,0,SetEffectParameterBus,SetEffectParameter.bus,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
8,SetEffectParameter,1,SetEffectParameterEffect,SetEffectParameter.effect,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
8,SetEffectParameter,2,SetEffectParameterValue,SetEffectParameter.value,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
8,SetEffectParameter,3,SetEffectParameterTransition,SetEffectParameter.transition_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
9,ApplySnapshot,0,ApplySnapshotSnapshot,ApplySnapshot.snapshot,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
9,ApplySnapshot,1,ApplySnapshotTransition,ApplySnapshot.transition_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
10,RequestMicrophone,0,RequestMicrophoneCapture,RequestMicrophone.capture,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
11,StopMicrophone,0,StopMicrophoneCapture,StopMicrophone.capture,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
12,SetCaptureMonitor,0,SetCaptureMonitorCapture,SetCaptureMonitor.capture,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
12,SetCaptureMonitor,1,SetCaptureMonitorBus,SetCaptureMonitor.bus,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,SetCaptureMonitor.bus None emits no site,same command may be reused; each effect resolves independently
12,SetCaptureMonitor,2,SetCaptureMonitorGain,SetCaptureMonitor.gain_db_milli,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
