variant,child_field,child_ordinal,current_owner_path,type_rule,root_fact,child_fact,site_emission
Variant,payload,0,RuntimeExpr::Variant.payload,absent optional emits no child; owner/case determines payload type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Field,target,0,RuntimeExpr::Field.target,projection result derives from target checked type and selected field/ordinal,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
ProjectTuple,target,0,RuntimeExpr::ProjectTuple.target,projection result derives from target checked type and selected field/ordinal,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
ProjectRecord,target,0,RuntimeExpr::ProjectRecord.target,projection result derives from target checked type and selected field/ordinal,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
AssignField,target,0,RuntimeExpr::AssignField.target,target aggregate type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
AssignField,expr,1,RuntimeExpr::AssignField.expr,must equal selected field type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
AssignField,body,2,RuntimeExpr::AssignField.body,root type equals body type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Call,args[i],i,RuntimeExpr::Call.args,exact accepted callable/intrinsic signature parameter i,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Function,body,0,RuntimeExpr::Function.body,"body child typed; root [0] is Operational(Function), never omitted",[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Apply,callee,0,RuntimeExpr::Apply.callee,"callee closure evidence; root [0] equals the accepted call result declaration, Checked or Operational",[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Apply,args[i],i+1,RuntimeExpr::Apply.args,checked u32 add; parameter order,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
TraitCall,receiver,0,RuntimeExpr::TraitCall.receiver,exact receiver type from RuntimeTraitMethod declaration,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
TraitCall,args[i],i+1,RuntimeExpr::TraitCall.args,exact trait method parameter i,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
PureCall,args[i],i,RuntimeExpr::PureCall.args,exact RuntimePureHelper input_type_ids[i],[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
SpreadArg,inner,0,RuntimeExpr::SpreadArg.0,same child type; spread legality checked by call owner,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
MethodCall,receiver,0,RuntimeExpr::MethodCall.receiver,resolved method receiver type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
MethodCall,args[i],i+1,RuntimeExpr::MethodCall.args,resolved method parameter i,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Map,source,0,RuntimeExpr::Map.source,sequence source type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Map,body,1,RuntimeExpr::Map.body,mapped value or predicate type under bound parameter,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Filter,source,0,RuntimeExpr::Filter.source,sequence source type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Filter,body,1,RuntimeExpr::Filter.body,mapped value or predicate type under bound parameter,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Sum,source,0,RuntimeExpr::Sum.source,numeric sequence source,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Unary,expr,0,RuntimeExpr::Unary.expr,operator-specific operand/result rule,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Binary,lhs,0,RuntimeExpr::Binary.lhs,operator-specific left operand,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Binary,rhs,1,RuntimeExpr::Binary.rhs,operator-specific right operand,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
If,condition,0,RuntimeExpr::If.condition,Bool,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
If,then_expr,1,RuntimeExpr::If.then_expr,must equal root result type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
If,else_expr,2,RuntimeExpr::If.else_expr,must equal then/root result type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
IfLet,expr,0,RuntimeExpr::IfLet.expr,pattern scrutinee type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
IfLet,guard,1,RuntimeExpr::IfLet.guard,reserved ordinal 1; absent optional emits no row; Bool,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
IfLet,then_expr,2,RuntimeExpr::IfLet.then_expr,must equal root result type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
IfLet,else_expr,3,RuntimeExpr::IfLet.else_expr,must equal then/root result type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Match,scrutinee,0,RuntimeExpr::Match.scrutinee,all arm patterns use this type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Match,arms[i].guard,1 + i*2,RuntimeExpr::Match.arms[i].guard,checked u32 arithmetic; absent guard emits no row; Bool,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Match,arms[i].expr,2 + i*2,RuntimeExpr::Match.arms[i].expr,checked u32 arithmetic; every arm equals root result type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
