id	area	authored_state	attached_owner	final_hir	scope_local_effect	source_projection	recovery_or_issue	project_semantics	accounting
S16	return	arrow then missing type	Authored with MissingType node	Authored(error TypeId), not OmittedUnit	result local Authored(error TypeId) when needed	Return/Type insertion	flow.signature.missing_return_type	candidate suppressed	1 error TypeId + diagnostic
S17	return	malformed type	Authored ErrorType node	Authored(error TypeId)	same as S16	typed Type source sites	ordinary type diagnostic	candidate suppressed	normal type/error accounting
S18	where	omitted	None	empty where-predicate slice	no new scope	no WhereClause site	none	valid	0 WherePredicates
S19	where	valid predicates	AttachedFlowWhereClause	source-ordered HirFlowWherePredicate slice	types resolve in callable generic environment	WhereClause + WherePredicate ordinals	semantic poison retained by type IDs	accepted callable resolver consumes same typed world	one WherePredicates charge per row
S20	where	malformed predicate	typed WherePredicate with MissingType/ErrorType children	HirFlowWherePredicate with error IDs	same scope	typed missing/error source sites	flow.signature.malformed_where plus child issue	candidate suppressed	predicate/type/diagnostic charges
S21	where	exact 256 / first 257	same owner	256 commits; 257 syntax transaction rejects	none published on failure	normal sites only on commit	SyntaxLimit::WherePredicates	no partial candidate	inclusive 256
B01	body	present empty closed body	AttachedFlowStatementBody(items=[])	HirThreadBody(items=[])	FlowBody scope	Body/Open/Close	none	valid semantic Unit completion	4 Flow scopes; 0 body child
B02	body	present nonempty closed body	source-ordered AttachedThreadFlowItem slice	source-ordered HirThreadFlowItem slice	nested scopes per item matrix	Body/Item ordinal plus child queries	child poison rolefully propagates	candidate may publish only if executable policy accepts poison state	child arena charges
B03	body	missing required body	AttachedRequiredFlowBody::Missing	empty HirThreadBody plus MissingBody poison; not a generic ErrorItem	FlowBody scope still reserved for stable graph	Body insertion	flow.body.missing	no candidate	1 syntax MissingBody + 1 HIR issue; no child
B04	body	unclosed body	Present body + close Missing	items lower; UnclosedBody poison	FlowBody scope	BodyClose insertion	flow.body.missing_close	no executable candidate until recovered	diagnostic 1
B05	body	terminal expression	ExpressionStatement under Statement row	Statement(StmtId), never tail ExprId	body scope	body item + statement/expression sites	ordinary expression poison	normal Flow statement	1 StmtId plus expression children
B06	body	trailing malformed header/body text	TrailingRecovery ordinals	HirFlowPoison::TrailingRecovery; no raw text field	no new scope	TrailingRecovery site	ordinary current-grammar diagnostic	candidate suppressed when terminal	recovery/diagnostic charges only
