id	layer	path	evidence_locator	current_old_authority	final_typed_authority	migration_order	required_deletion
U011	syntax budget	crates/arcweft-lang-syntax/src/grammar/budget.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/grammar/budget.rs#L1-EOF; symbols=GrammarBudget::start; charge_start	contract charge only Requires/Ensures kinds	all nine clause kinds charge ContractClauses	Cut 1	exact/one-over remains transaction-fatal
U012	syntax limits	crates/arcweft-lang-syntax/src/incremental/limits.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/incremental/limits.rs#L1-EOF; symbols=SyntaxLimit::maximum	existing inclusive global limits	same limits; no Flow-only limit	Cut 1	retain values in accounting table
U013	attached marker owner	crates/arcweft-lang-syntax/src/attachment/node.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/attachment/node.rs#L1-EOF; symbols=FlowItemKind; body/statement markers; AstNode	no final Flow record; old dialogue marker	new exact markers and Flow record accessors	Cut 1	private fields and checked construction
U014	attached family owner	crates/arcweft-lang-syntax/src/attachment/family.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/attachment/family.rs#L1-EOF; symbols=ItemFamily; StatementFamily; ExpressionFamily; DeclarationPartFamily	family predicates omit final Flow clause/body kinds	original predicates extended exhaustively	Cut 1	AstTag alone remains insufficient
U015	syntax body range reader	crates/arcweft-lang-syntax/src/expr/source_ranges/thread_body.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/expr/source_ranges/thread_body.rs#L1-EOF; symbols=thread body source-range projections	range projections outside final body owner	attached body handles and HIR source query	Cut 1/2	delete raw/copied body range path
U016	syntax lint	crates/arcweft-lang-syntax/src/lint.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/lint.rs#L1-EOF; symbols=Flow/identity/style lint traversal	detached Flow/FlowItem readers	attached FlowItemNode roles and exact source snapshot	Cut 1/4	preserve observable lint, delete clone traversal
U017	formatter	crates/arcweft-tooling/src/format.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-tooling/src/format.rs#L1-EOF; symbols=format_document	request-local ParsedSource provisional typed tree	accepted attached snapshot from same SourceDocument generation	Cut 4	remove local independent semantic reader; preserve trivia from snapshot
U018	formatter code action	crates/arcweft-tooling/src/code_actions.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-tooling/src/code_actions.rs#L1-EOF; symbols=source code actions	bound document but provisional formatting parse	accepted project/syntax generation	Cut 4	one source lease and typed edits
U019	CLI formatter adapter	crates/arcweft-cli/src/app/tooling.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-cli/src/app/tooling.rs#L1-EOF; symbols=path-derived SourceDocument -> formatter	tooling request-local parse	accepted compiler/project parse product	Cut 4	no raw text fallback
U020	HIR producer	crates/arcweft-lang-hir/src/lower_flow.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/lower_flow.rs#L1-EOF; symbols=lower_flow; lower_flow_item_with_context; lower_thread	clone-HIR Flow, FlowItem and recursive AST copying	HirItemKind::Flow and transaction lowering from attached handles	Cut 2	delete file or reduce to final transaction context; never repair old variants
U021	HIR model	crates/arcweft-lang-hir/src/model.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/model.rs#L1-EOF; symbols=HirFlow; HirFlowItem; HirThread; HirAwait; HirScope	syntax/AST clones, Vec bodies, legacy dialogue payloads	FINAL_HIR_RUST_SCHEMA.md typed IDs and HirThreadBody	Cut 2	delete obsolete types/variants and fix compile fallout
U022	HIR document entry	crates/arcweft-lang-hir/src/lower.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/lower.rs#L1-EOF; symbols=document lowering and item dispatch	old detached tree/lower_flow call	checked package/module/document + bound ParsedSource -> HIR transaction	Cut 2	single source-backed HIR entry
U023	HIR project owner	crates/arcweft-lang-hir/src/project.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/project.rs#L1-EOF; symbols=project symbol/source publication	provisional Flow clone records and late joins	qualified ItemId, accepted generation, source query	Cut 2/3	publish all Flow facts atomically
U024	HIR cache facts	crates/arcweft-lang-hir/src/cache_facts.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/cache_facts.rs#L1-EOF; symbols=Flow/HIR digest facts	clone fields and provisional ordering	typed IDs, heterogeneous source order, accepted generation	Cut 2/3	no copied Flow body or range
U025	legacy dialogue lowerer	crates/arcweft-lang-hir/src/lower_dialogue.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/lower_dialogue.rs#L1-EOF; symbols=lower_speaker_line; lower_content_call	SpeakerLine/ContentCall -> HirDialogue	accepted dialogue application ExprId	Cut 2	delete after final application lowering connects
U026	dialogue HIR substrate	crates/arcweft-lang-hir/src/dialogue_application.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/dialogue_application.rs#L1-EOF; symbols=HirLinePlan; HirSourceSite; roles	private accepted typed carriers	same accepted carriers connected to final expression/body owner	Cut 2	do not introduce Flow-specific copy
U027	identity/limit owner	crates/arcweft-lang-hir/src/identity.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/src/identity.rs#L1-EOF; symbols=qualified IDs; SyntheticRole; HirLimit	accepted final identity substrate	same owners plus final Flow uses	Cut 2	no raw ID or serializer
U028	semantic resolver	crates/arcweft-lang-sema/src/resolve.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/resolve.rs#L1-EOF; symbols=HirFlowItem traversal and ID/name resolution	matches clone-HIR variants and string identities	ItemId/StmtId/ExprId, accepted nominal/callable resolver	Cut 3	delete old match arms; exact checked identity
U029	Flow checker	crates/arcweft-lang-sema/src/checker/flow.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/checker/flow.rs#L1-EOF; symbols=Flow item/body checking	clone body and current family variants	HirThreadBody and 16 typed variants	Cut 3	result local and scope visibility from HIR
U030	module checker	crates/arcweft-lang-sema/src/checker/module.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/checker/module.rs#L1-EOF; symbols=Flow item dispatch/registration	old HirFlow records	HirItemKind::Flow and accepted CallableRecord	Cut 3	no copied signature
U031	entry checker	crates/arcweft-lang-sema/src/entry/checker.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/entry/checker.rs#L1-EOF; symbols=Flow entry lookup	old Flow public/string identity	accepted project callable/checked ID	Cut 3	module-preserving identity
U032	entry contract checker	crates/arcweft-lang-sema/src/entry/checker/contract.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/entry/checker/contract.rs#L1-EOF; symbols=Flow/entry contract projections	current partial ContractClause projections	nine typed HIR variants and accepted effect/place facts	Cut 3	no source reparsing
U033	effect contract lowerer	crates/arcweft-lang-sema/src/effect_contract.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/effect_contract.rs#L1-EOF; symbols=lower_effect_contract; effect_label	syntax Expr recursion and string EffectId parsing	HIR ExprId selectors -> sole EffectCatalog/EffectId	Cut 3	delete source/syntax expression conversion
U034	symbol owner	crates/arcweft-lang-sema/src/symbols.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/symbols.rs#L1-EOF; symbols=Flow symbols and body traversal	copied Flow name/signature/body facts	exact accepted CallableRecord/CheckedCallableId and typed edges	Cut 3	no ProjectFlowSymbol copy
U035	semantic aggregate	crates/arcweft-lang-sema/src/semantic.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/semantic.rs#L1-EOF; symbols=semantic Flow/body/contract traversal	clone-HIR matches	qualified HIR snapshot and typed IDs	Cut 3	one accepted project generation
U036	semantic traversal	crates/arcweft-lang-sema/src/semantic/traversal.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/semantic/traversal.rs#L1-EOF; symbols=FlowItem recursion	old variant recursion	HirThreadFlowItem typed traversal	Cut 3	source order from body slice
U037	project index root	crates/arcweft-lang-sema/src/project_index.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/project_index.rs#L1-EOF; symbols=index publication	old Flow/clone graph inputs	typed Item/Stmt/Expr edges	Cut 3	single accepted transaction
U038	project control-flow index	crates/arcweft-lang-sema/src/project_index/flow_control.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/project_index/flow_control.rs#L1-EOF; symbols=HirFlowItem control edges	old clone variants	16 final body variants and typed target edges	Cut 3	Include/Await/Select direct rows
U039	project entity index	crates/arcweft-lang-sema/src/project_index/entities.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/project_index/entities.rs#L1-EOF; symbols=Flow entity/public ID indexing	string/copy identity	accepted ItemId/public identity	Cut 3	ID/name collision in project transaction
U040	project relation index	crates/arcweft-lang-sema/src/project_index/relations.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/project_index/relations.rs#L1-EOF; symbols=Flow/include/dialogue relations	old Flow body and entity refs	typed HirIdRef and exact source query	Cut 3	no source scan
U041	signature surface	crates/arcweft-lang-sema/src/signature/surface.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/signature/surface.rs#L1-EOF; symbols=Flow signature publication/help	copied signature/source rows	accepted CallableRecord and typed source query	Cut 3/4	same generation in LSP
U042	verifier	crates/arcweft-verify/src/lib.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-verify/src/lib.rs#L1-EOF; symbols=Flow and contract obligation traversal	old HirFlow/HirFlowItem matches	nine contract variants, typed scopes and body IDs	Cut 4	no syntax clone or raw range
U043	verify-LSP	crates/arcweft-verify-lsp/src/lib.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-verify-lsp/src/lib.rs#L1-EOF; symbols=diagnostics/code actions	caller-local project/syntax pipelines remain	accepted HIR project generation and source query	Cut 4	exact document lease
U044	runtime-plan Flow	crates/arcweft-runtime-plan/src/flow.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-runtime-plan/src/flow.rs#L1-EOF; symbols=Flow plan lowering	clone-HIR Flow/body variants	checked HirThreadBody and typed IDs	Cut 4	no DirectFrame/StreamFactory redesign
U045	runtime-plan line task	crates/arcweft-runtime-plan/src/line_task.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-runtime-plan/src/line_task.rs#L1-EOF; symbols=Thread/dialogue line-plan lowering	old HirThread/HirDialogue cases	accepted typed dialogue ExprId and HirThreadBody	Cut 4	preserve line-plan semantics
U046	runtime-plan text effects	crates/arcweft-runtime-plan/src/render_text/fx/builtins/inventory.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-runtime-plan/src/render_text/fx/builtins/inventory.rs#L1-EOF; symbols=expression/Flow inventory traversal	old expression/Flow exhaustive matches	final expression and body variants	Cut 4	mechanical typed migration
U047	compiler persistent facts	crates/arcweft-compiler/src/persistent.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-compiler/src/persistent.rs#L1-EOF; symbols=Flow cache/interface persistence	copied clone-HIR/signature/source facts	derived accepted typed facts and generation digest	Cut 4	no persisted session-local HIR IDs
U048	LSP cascade	crates/arcweft-lsp/src/features/cascade.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lsp/src/features/cascade.rs#L1-EOF; symbols=Flow traversal/source features	local syntax/HIR pipelines and old body variants	accepted project generation and HirSourceQuery	Cut 4	no on-demand source reparse
U049	LSP inlay	crates/arcweft-lsp/src/features/inlay.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lsp/src/features/inlay.rs#L1-EOF; symbols=Flow/dialogue inlays	old Flow body/dialogue ID readers	typed source query and AW-AH line identity	Cut 4	same document revision
U050	CLI check/build	crates/arcweft-cli/src/app/bundle.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-cli/src/app/bundle.rs#L1-EOF; symbols=project/Flow bundle traversal	old compiler/project Flow facts	compiler accepted project/runtime-plan output	Cut 4	adapter only; no semantic fallback
U051	CLI runtime expectation	crates/arcweft-cli/src/app/runtime/expectations.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-cli/src/app/runtime/expectations.rs#L1-EOF; symbols=Flow lookup/expectation	string or copied Flow identity	accepted public/callable identity	Cut 4	typed diagnostic on missing/stale
U052	Agent REPL binding	crates/arcweft-agent-repl/src/binding.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-agent-repl/src/binding.rs#L1-EOF; symbols=REPL parse/lower binding	fragment/detached parse and provisional Flow facts	synthetic whole document + accepted parse/HIR generation	Cut 4	no project script dialect
U053	Agent REPL evidence	crates/arcweft-agent-repl/src/evidence.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-agent-repl/src/evidence.rs#L1-EOF; symbols=Flow/debug evidence projection	old Flow names/body summaries	typed ItemId, checked facts, source query	Cut 4	derived output only
U054	Agent native observation	crates/arcweft-cli/src/app/agent/native/runtime_observation.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-cli/src/app/agent/native/runtime_observation.rs#L1-EOF; symbols=runtime Flow observation	runtime/copied Flow labels	accepted runtime-plan identity derived from checked Flow	Cut 4	no source/HIR copy at runtime
U055	tooling dialogue	crates/arcweft-tooling/src/dialogue_content.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-tooling/src/dialogue_content.rs#L1-EOF; symbols=dialogue extraction and IDs	old SpeakerLine/ContentCall/string source interpretation	accepted dialogue application ExprId and line identity	Cut 4	delete legacy scan
U056	syntax tests	crates/arcweft-lang-syntax/src/parser/shadow_flow_tests.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/shadow_flow_tests.rs#L1-EOF; symbols=Flow header/body tests	partial header and old body expectations	complete attached schema, all clauses/items/recovery	Cut 1/5	typed behavior; no source gate
U057	sema tests	crates/arcweft-lang-sema/src/tests/control_flow.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/tests/control_flow.rs#L1-EOF; symbols=Flow control semantics	clone-HIR expectations	16 final body variants	Cut 3/5	update fixtures to final authority
U058	sema tests	crates/arcweft-lang-sema/src/tests/contracts.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/tests/contracts.rs#L1-EOF; symbols=contract semantics	partial/current syntax ContractClause	all nine HIR rows and scope/result rules	Cut 3/5	effect/place/proof typed evidence
U059	dialogue tests	crates/arcweft-lang-sema/src/tests/dialogue.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-sema/src/tests/dialogue.rs#L1-EOF; symbols=Flow dialogue semantics	legacy speaker/content carriers	typed dialogue application	Cut 3/5	old variants compile-fail
U060	public API tests	crates/arcweft-lang-hir/tests/ui	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-hir/tests/ui#L1-EOF; symbols=trybuild public boundary	old public constructors/variants	absence of detached/clone/compat APIs	Cut 5	compile-fail rather than source spelling
