id	component_or_case	query_or_owner	outcome	attached_authority	applicability	validation_or_precedence	diagnostic_or_atomic_behavior
Q21	wrong module	any query	Error WrongModule	typed ID module	N/A	before liveness/role/source	no partial diagnostic/source row
Q22	not yet live	any query	Error NotYetLive{id,snapshot,born}	lifetime ledger	N/A	after module, before retired/kind/role	exact payload
Q23	retired	any query	Error Retired{id,snapshot,retired_at}	lifetime ledger	N/A	after NotYetLive, before kind/role	exact payload
Q24	kind mismatch	any query	Error KindMismatch{id,expected,actual}	typed slot ledger	N/A	after retired, before role	wrapper corruption only; no public raw constructor
Q25	bad role/ordinal	owner plus wrong role or ordinal	RoleNotApplicable / OrdinalOutOfBounds	role enums	N/A	before expected document/revision	bad ordinal precedence matches accepted Select adjudication
Q26	wrong expected document	valid query + foreign SourceDocumentIdentity	WrongSourceDocument	source index	N/A	after owner/role checks	does not search another document
Q27	stale source revision	valid query + stale revision	StaleSourceRevision	source snapshot	N/A	after document identity	no reparse or latest-document fallback
Q28	rollback	failed transaction	no public query	no committed owner/key	N/A	N/A	staging reservation never exported
Q29	retry	same attached snapshot after transient failure	same deterministic IDs/sites once	transaction recipe	N/A	normal validation	no duplicate row/diagnostic/candidate
D01	missing identity	Item { role: Name } and HirFlowIssue::Identity	checked insertion plus retained MissingName	attached MissingName node	only AttachedFlowIdentity::Missing	Identity class; keyword may be related only when it is the nearest useful anchor	`flow.identity.missing`; recovered Flow commits, project/callable publication suppressed
D02	second parameter group	Item { role: TrailingRecovery(ordinal) }	span of the retained second group	attached signature ErrorNode containing FixedParameterGroup	only malformed curried Flow header	Signature class after first admitted group and before return/where recovery	`flow.signature.curried_flow`; second group allocates no HIR parameter, type, pattern, or local
D03	missing parameter or return type	Item parameter/return Type role plus child Type query	checked insertion and error TypeId source site	attached MissingType child	only malformed annotated type	Signature class; child type issue retained and selected by source order	`flow.signature.missing_parameter_type` or `flow.signature.missing_return_type`; never treated as omitted Unit
D04	malformed where predicate	Item WherePredicate role plus child Type queries	typed error subject/bound sites	attached WherePredicate with MissingType/ErrorType children	only malformed where clause	Signature class; earliest predicate/child site wins	`flow.signature.malformed_where`; typed children remain queryable and candidate publication is suppressed
D05	missing contract operand	Item ContractClause Operand insertion plus child Expr query	checked insertion and MissingExpression ExprId	dedicated attached clause with MissingExpression child	only malformed clause payload	Contract class; heterogeneous clause ordinal then operand ordinal	`flow.contract.missing_operand`; recovered clause commits once and executable checking is poisoned
D06	effect conflict	later selector Expr source; earlier selector related	accepted EffectId facts retain both source-backed selectors	dedicated Effects/NoEffect nodes	semantic conflict only	Contract class; later conflicting selector primary, earlier selector related	`flow.contract.effect_conflict`; no selector is rewritten or dropped from HIR
D07	duplicate decreases	later Decreases keyword primary; first keyword related	both source-ordered HIR clause rows retained	dedicated Decreases nodes	two or more decreases clauses	Contract class; later keyword is primary	`flow.contract.duplicate_decreases`; checker publishes no accepted termination measure
D08	missing body	Item { role: Body } insertion	checked insertion and MissingBody issue	attached MissingBody node	recognized Flow without required body	MissingBody class before any body-child or close issue	`flow.body.missing`; no HirThreadBody or project/callable candidate is published from a failed HIR transaction
D09	poisoned body child	ThreadBody Item ChildWhole relation plus child whole query	typed child ID and roleful Flow body-child issue	attached typed/recovery child	present body with malformed retained child	BodyChild class; body ordinal then child precedence; terminal child diagnostic is not copied	`flow.body.recovered_child`; child stays queryable, executable/runtime-plan publication is suppressed as required
D10	unclosed body	ThreadBody CloseDelimiter insertion	checked insertion and missing-close issue	attached missing CloseBrace delimiter state	present body without close delimiter	UnclosedBody class after retained body children	`flow.body.missing_close`; body children remain typed, source-frozen, and non-executable until poison is handled
D11	trailing recovery	Item TrailingRecovery(ordinal)	retained recovery span or insertion	attached RecoveryNode sequence	malformed tokens after body/header owner	TrailingRecovery class; last precedence class in source order	ordinary current-grammar diagnostic; no permanent removed-syntax code and no compatibility lowering
