id,phase,path,line_or_symbol,current_authority_risk,required_final_state,deletion_or_migration,verification
INV-0001,request-selected-evidence,crates/arcweft-character,request-selected,must be reconciled with the final single-authority graph,inspect exact owner and every caller; migrate to admitted generation and role-scoped construction authority,delete any raw digest/root/constructor bypass after migration,request traceability plus exact target suite
INV-0031,retained-parent-inventory,crates/arcweft-runtime-driver/src/session_save.rs,crates/arcweft-runtime-driver/src/session_save.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0032,retained-parent-inventory,session replay/root modules,session replay/root modules,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0033,retained-parent-inventory,crates/arcweft-bundle,crates/arcweft-bundle,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0034,retained-parent-inventory,crates/arcweft-save,crates/arcweft-save,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0035,retained-parent-inventory,crates/arcweft-view and generated View products,crates/arcweft-view and generated View products,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0036,retained-parent-inventory,agent runtime/projections,agent runtime/projections,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0037,retained-parent-inventory,CLI/runtime adapters,CLI/runtime adapters,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0038,retained-parent-inventory,runtime accelerator projections,runtime accelerator projections,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0039,retained-parent-inventory,arcweft-core trybuild,arcweft-core trybuild,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0040,retained-parent-inventory,internal obsolete call-site fixtures,internal obsolete call-site fixtures,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0041,retained-parent-inventory,workspace structure audit,workspace structure audit,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0042,retained-parent-inventory,crates/arcweft-core/src/plan.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0043,retained-parent-inventory,crates/arcweft-core/src/plan.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0044,retained-parent-inventory,crates/arcweft-core/src/plan.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0045,retained-parent-inventory,crates/arcweft-core/src/plan.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0046,retained-parent-inventory,crates/arcweft-core/src/plan.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0047,retained-parent-inventory,crates/arcweft-core/src/plan/entry_inventory.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0048,retained-parent-inventory,crates/arcweft-core/src/plan/generation_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0049,retained-parent-inventory,crates/arcweft-core/src/plan/generation_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0050,retained-parent-inventory,crates/arcweft-core/src/plan/generation_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0051,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0052,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0053,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0054,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0055,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0056,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0057,retained-parent-inventory,crates/arcweft-core/src/plan/producer_contract.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0058,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0059,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0060,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0061,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0062,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0063,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0064,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0065,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0066,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0067,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0068,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0069,retained-parent-inventory,crates/arcweft-core/src/pattern.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0070,retained-parent-inventory,crates/arcweft-core/src/pattern.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0071,retained-parent-inventory,crates/arcweft-core/src/pattern.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0072,retained-parent-inventory,crates/arcweft-core/src/pattern.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0073,retained-parent-inventory,crates/arcweft-core/src/value/ownership/path.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0074,retained-parent-inventory,crates/arcweft-core/src/value/nesting.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0075,retained-parent-inventory,crates/arcweft-core/src/pure.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0076,retained-parent-inventory,crates/arcweft-core/src/structured.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0077,retained-parent-inventory,crates/arcweft-core/src/root.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0078,retained-parent-inventory,crates/arcweft-core/src/replay.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0079,retained-parent-inventory,crates/arcweft-core/src/value/ownership,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0080,retained-parent-inventory,crates/arcweft-core/src/value/nesting.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0081,retained-parent-inventory,crates/arcweft-core/src/awbc/schema.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0082,retained-parent-inventory,crates/arcweft-core/src/awbc/schema.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0083,retained-parent-inventory,crates/arcweft-core/src/awbc/codec.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0084,retained-parent-inventory,crates/arcweft-core/src/awbc/codec.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0085,retained-parent-inventory,crates/arcweft-core/src/awbc/codec.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0086,retained-parent-inventory,crates/arcweft-core/src/awbc/verify.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0087,retained-parent-inventory,crates/arcweft-core/src/awbc/admission.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0088,retained-parent-inventory,crates/arcweft-core/src/awbc/admission.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0089,retained-parent-inventory,crates/arcweft-core/src/awbc/type_projection.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0090,retained-parent-inventory,crates/arcweft-core/src/awbc/vm.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0091,retained-parent-inventory,crates/arcweft-core/src/awbc/vm.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0092,retained-parent-inventory,crates/arcweft-core/src/awbc/vm.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0093,retained-parent-inventory,crates/arcweft-core/src/awbc/vm.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0094,retained-parent-inventory,crates/arcweft-core/src/awbc/fiber.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0095,retained-parent-inventory,crates/arcweft-core/src/awbc/fiber.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0096,retained-parent-inventory,crates/arcweft-core/src/awbc/fiber.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0097,retained-parent-inventory,crates/arcweft-core/src/awbc/product_step.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0098,retained-parent-inventory,crates/arcweft-core/src/awbc/product_step.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0099,retained-parent-inventory,crates/arcweft-core/src/awbc/product_step.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0100,retained-parent-inventory,crates/arcweft-core/src/awbc/product_step.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0101,retained-parent-inventory,crates/arcweft-core/src/executor.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0102,retained-parent-inventory,crates/arcweft-core/src/executor.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0103,retained-parent-inventory,crates/arcweft-core/src/executor.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0104,retained-parent-inventory,crates/arcweft-core/src/engine.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0105,retained-parent-inventory,crates/arcweft-core/src/engine.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0106,retained-parent-inventory,crates/arcweft-core/src/engine.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0107,retained-parent-inventory,crates/arcweft-core/src/bytecode.rs,parent-selected,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
