ID,Layer,Owner/path,Symbol or behavior,Required action,Gate,Evidence
INV-044,runtime driver,generation_runtime.rs / swap.rs,generation/hot-swap plans,store/use AdmittedRuntimePlan and catalog,G7,tree inspection + compile closure
INV-045,runtime driver,crates/arcweft-runtime-driver/src/view_runtime.rs,View values/restore,validate expected tree/dialogue before mount/traversal,G7,exact pinned source
INV-046,runtime driver,crates/arcweft-runtime-driver/src/session_save.rs,InvalidRuntimeValue string flattening,add typed nominal/dialogue source variants,G7,exact pinned source
INV-047,runtime driver,session replay/root modules,restore/replay RuntimeValue,validate before ownership/replay/activation,G7,exact tree + compile closure
INV-048,bundle,crates/arcweft-bundle,plan/value decode entry points,return quarantine; driver performs active typed admission,G7/G10,workspace inventory + compile closure
INV-049,save,crates/arcweft-save,RuntimeValue restore entry points,map active owner/type and validate before traversal,G7/G10,parent inventory + compile closure
INV-050,View,crates/arcweft-view and generated View products,typed runtime value projection,retain expected checked types/catalog references,G7,workspace inventory + compile closure
INV-051,agent,agent runtime/projections,inspect/reproduce runtime values,inspect admitted only; no nominal reconstruction,G7,request inventory + compile closure
INV-052,CLI,CLI/runtime adapters,inspect/reproduce runtime values,inspect admitted only; no nominal reconstruction,G7,request inventory + compile closure
INV-053,accelerator,runtime accelerator projections,value transfer/reproduction,preserve admitted identity; no raw constructor,G7,request inventory + compile closure
INV-054,tests,arcweft-core trybuild,public new/validate_shape/handle fields,external compile-fail fixtures,G2/G8,required test closure
INV-055,tests,internal obsolete call-site fixtures,new/validate_shape/RuntimeFieldPath,internal compile-fail/deletion closure,G8,required test closure
INV-056,structural,workspace structure audit,fallbacks/dual readers/copied tables,fail if any prohibited surface remains,G9/G10,required gate
