id,layer,path,symbol,lines,commit_pinned_url,finding
E019,expression synthetic,crates/arcweft-runtime-plan/src/final_expr.rs,spread/assignment/variant/reduction,278-444,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_expr.rs,current synthetic RuntimeExpr nodes requiring exact accepted types
E020,expression synthetic,crates/arcweft-runtime-plan/src/final_expr.rs,choice/shorthand/block/Agent,553-910,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_expr.rs,remaining shorthand/local/Agent synthetic nodes
E021,pattern lowerer,crates/arcweft-runtime-plan/src/final_pattern.rs,FinalPatternLowerer,13-210,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_pattern.rs,currently raw patterns; shorthand/rest nodes synthesized
E022,flow lowerer,crates/arcweft-runtime-plan/src/final_flow.rs,FlowBodyLowerer::lower statement dispatch,1230-1260,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_flow.rs,constructs independent expr/pattern lowerers; assignment discard/unit synthetic nodes
E023,flow lowerer,crates/arcweft-runtime-plan/src/final_flow.rs,lower_assertion,1519-1663,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_flow.rs,synthetic assertion message currently built directly
E024,AWBC schema,crates/arcweft-core/src/awbc/schema.rs,AWBC_ABI_VERSION/AWBC_CODEC_VERSION/AWBC_MAGIC,11-18,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/awbc/schema.rs,all remain version 1; envelope magic retained
E025,AWBC schema,crates/arcweft-core/src/awbc/schema.rs,AwbcProgram,116-194,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/awbc/schema.rs,currently raw public program fields; final builder/private program remains residual
E026,AWBC constant,crates/arcweft-core/src/awbc/schema.rs,AwbcConstant::Record,682-712,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/awbc/schema.rs,currently type plus field-name spelling; nominal-domain operand absent
E027,AWBC instruction,crates/arcweft-core/src/awbc/schema.rs,AwbcOpcode::MakeRecord/AwbcInstruction::MakeRecord,858-878;919-997;1105-1110,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/awbc/schema.rs,opcode 0x0f retained; nominal-domain operand absent
E028,AWBC lowerer,crates/arcweft-runtime-plan/src/awbc_lower.rs,AwbcLowerer::lower,36-158,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/awbc_lower.rs,currently accepts raw RuntimePlan and mutates/canonicalizes raw program
E029,root projection,crates/arcweft-core/src/plan/generation_contract.rs,RuntimeProjectRootId/RuntimeProducerRootId,29-50,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/plan/generation_contract.rs,lossless 32-byte projections already landed; no caller root map
E030,policy,AGENTS.md,repository invariants,1-105,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/AGENTS.md,"one typed authority, deletion migration, versions fixed at 1"
E031,dependency graph,crates/arcweft-bundle/Cargo.toml,arcweft-bundle dependencies,7-34,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-bundle/Cargo.toml,bundle depends on core/character/view and does not depend on compiler
E032,dependency graph,crates/arcweft-compiler/Cargo.toml,arcweft-compiler dependencies,7-29,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-compiler/Cargo.toml,compiler already depends on bundle; compiler-owned bridge preserves direction
E033,dependency graph,crates/arcweft-runtime-driver/Cargo.toml,arcweft-runtime-driver dependencies,7-24,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-driver/Cargo.toml,driver depends on bundle/core/save and not compiler/JIT/codegen
E034,dependency graph,crates/arcweft-lang-jit-cranelift/Cargo.toml,JIT dependencies,7-20,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-lang-jit-cranelift/Cargo.toml,JIT currently depends on core; final backend entry adds driver dependency and accepts published generation
E035,dependency graph,crates/arcweft-runtime-codegen/Cargo.toml,codegen dependencies,7-20,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-codegen/Cargo.toml,runtime-codegen currently depends on core; final backend entry adds driver dependency and accepts published generation
E036,dependency graph,crates/arcweft-save/Cargo.toml,save dependencies,7-22,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-save/Cargo.toml,save is a lower Sans-I/O codec and must not depend on runtime-driver
