id,synthetic_site,accepted_type_source,fact_carrier,classification,runtime_node/use,error_precedence
SYN-011,"HirRuntimeSyntheticExprSite::PureBlockLetBody { block: ExprId, statement: StmtId }",accepted continuation type from checked block statement chain,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,RuntimeExpr::Let body/root,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-012,"HirRuntimeSyntheticExprSite::PureBlockAssignmentTarget { block: ExprId, statement: StmtId }",accepted target type from checked assignment,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,RuntimeExpr::AssignField target,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-013,"HirRuntimeSyntheticExprSite::PureBlockAssignmentValue { block: ExprId, statement: StmtId }",accepted value type from checked assignment,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,RuntimeExpr::AssignField value,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-014,"HirRuntimeSyntheticExprSite::PureBlockAssignmentBody { block: ExprId, statement: StmtId }",accepted continuation type from checked block statement chain,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,RuntimeExpr::AssignField body/root,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-015,"HirRuntimeSyntheticExprSite::FunctionBodyLetValue { function: ItemId, statement: StmtId }",accepted initializer ExprId type,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,function-body RuntimeExpr::Let value,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-016,"HirRuntimeSyntheticExprSite::FunctionBodyLetBody { function: ItemId, statement: StmtId }",accepted continuation type from checked function statement chain,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,function-body RuntimeExpr::Let body/root,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-017,"HirRuntimeSyntheticExprSite::FunctionBodyAssignmentTarget { function: ItemId, statement: StmtId }",accepted target type from checked assignment,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,function-body assignment target,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-018,"HirRuntimeSyntheticExprSite::FunctionBodyAssignmentValue { function: ItemId, statement: StmtId }",accepted value type from checked assignment,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,function-body assignment value,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-019,"HirRuntimeSyntheticExprSite::FunctionBodyAssignmentBody { function: ItemId, statement: StmtId }",accepted continuation type from checked function statement chain,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,function-body assignment body/root,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-020,HirRuntimeSyntheticExprSite::FlowAssignmentOuter { statement: StmtId },accepted Unit statement result from checked flow role,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic assignment expression root,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-021,HirRuntimeSyntheticExprSite::FlowAssignmentContinuationUnit { statement: StmtId },accepted Unit semantic identity from checked flow role,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic RuntimeValue::Unit; never inferred from value,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-022,"HirRuntimeSyntheticExprSite::AssertionFailureMessage { statement: StmtId, condition: u32 }",accepted String type from runtime assertion signature fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic message literal,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-023,HirRuntimeSyntheticExprSite::ChoiceActionRecord { call: ExprId },exact accepted ChoiceAction nominal/record type from resolved Agent intrinsic signature,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,whole synthetic record,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-024,HirRuntimeSyntheticExprSite::ChoiceActionId { call: ExprId },accepted field type from ChoiceAction projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,authored argument or accepted conversion,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-025,HirRuntimeSyntheticExprSite::ChoiceActionTarget { call: ExprId },accepted field type from ChoiceAction projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,authored argument,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-026,HirRuntimeSyntheticExprSite::ChoiceActionAction { call: ExprId },accepted field type from ChoiceAction projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,authored argument,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-027,HirRuntimeSyntheticExprSite::ChoiceActionKind { call: ExprId },accepted field type from ChoiceAction projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string value,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-028,HirRuntimeSyntheticExprSite::ChoiceActionEnabled { call: ExprId },accepted field type from ChoiceAction projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic bool true,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-029,HirRuntimeSyntheticExprSite::AgentTargetViewportRecord { call: ExprId },accepted return type of resolved Agent::Viewport intrinsic,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-030,HirRuntimeSyntheticExprSite::AgentTargetViewportKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-031,HirRuntimeSyntheticExprSite::AgentTargetLayerRecord { call: ExprId },accepted return type of resolved Agent::Layer intrinsic; authored layer argument keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored layer child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-032,HirRuntimeSyntheticExprSite::AgentTargetLayerKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-033,HirRuntimeSyntheticExprSite::AgentTargetObjectRecord { call: ExprId },accepted return type of resolved Agent::Object intrinsic; authored object argument keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored object child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-034,HirRuntimeSyntheticExprSite::AgentTargetObjectKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-035,HirRuntimeSyntheticExprSite::AgentTargetViewportPointRecord { call: ExprId },accepted return type of resolved Agent::ViewportPoint intrinsic; authored x/y children keep their own accepted ExprId facts,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored x/y children,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-036,HirRuntimeSyntheticExprSite::AgentProbeSignalRecord { call: ExprId },accepted return type of resolved Agent::Signal intrinsic; authored signal target keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored signal child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-037,HirRuntimeSyntheticExprSite::AgentProbeSignalKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-038,HirRuntimeSyntheticExprSite::AgentProbeMetricRecord { call: ExprId },accepted return type of resolved Agent::Metric intrinsic; authored metric target keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored metric child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-039,HirRuntimeSyntheticExprSite::AgentProbeMetricKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-040,HirRuntimeSyntheticExprSite::AgentProbeStateRecord { call: ExprId },accepted return type of resolved Agent::State intrinsic; authored state path keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored path child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-041,HirRuntimeSyntheticExprSite::AgentProbeStateKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-042,HirRuntimeSyntheticExprSite::AgentProbeObservationRecord { call: ExprId },accepted return type of resolved Agent::Observation intrinsic; authored observation path keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored path child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-043,HirRuntimeSyntheticExprSite::AgentProbeObservationKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-044,HirRuntimeSyntheticExprSite::AgentProbeDiagnosticsRecord { call: ExprId },accepted return type of resolved Agent::Diagnostics intrinsic,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-045,HirRuntimeSyntheticExprSite::AgentProbeDiagnosticsKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-046,HirRuntimeSyntheticExprSite::AgentPredicateExistsRecord { call: ExprId },accepted return type of resolved Agent::Exists intrinsic; authored probe keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored probe child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-047,HirRuntimeSyntheticExprSite::AgentPredicateExistsKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-048,HirRuntimeSyntheticExprSite::AgentPredicateNotRecord { call: ExprId },accepted return type of resolved Agent::Not intrinsic; authored predicate keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored predicate child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-049,HirRuntimeSyntheticExprSite::AgentPredicateNotKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-050,HirRuntimeSyntheticExprSite::AgentPredicateActionEnabledRecord { call: ExprId },accepted return type of resolved Agent::ActionEnabled intrinsic,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-051,HirRuntimeSyntheticExprSite::AgentPredicateActionEnabledKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-052,HirRuntimeSyntheticExprSite::AgentPredicateActionEnabledTarget { call: ExprId },accepted target field type from action argument projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic RuntimeExpr::Field,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-053,HirRuntimeSyntheticExprSite::AgentPredicateAllRecord { call: ExprId },accepted return type of resolved Agent::All intrinsic,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-054,HirRuntimeSyntheticExprSite::AgentPredicateAllKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-055,HirRuntimeSyntheticExprSite::AgentPredicateAllTuple { call: ExprId },accepted predicates tuple type from resolved intrinsic variadic signature; every authored predicate keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic tuple in authored argument order,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-056,HirRuntimeSyntheticExprSite::AgentPredicateAnyRecord { call: ExprId },accepted return type of resolved Agent::Any intrinsic,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-057,HirRuntimeSyntheticExprSite::AgentPredicateAnyKind { call: ExprId },accepted kind field type from intrinsic return projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-058,HirRuntimeSyntheticExprSite::AgentPredicateAnyTuple { call: ExprId },accepted predicates tuple type from resolved intrinsic variadic signature; every authored predicate keeps its own accepted ExprId fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic tuple in authored argument order,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-059,HirRuntimeSyntheticExprSite::AgentComparisonRecord { call: ExprId },accepted comparison predicate type from checked comparison fact; authored probe/value children keep their own accepted ExprId facts,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic record with accepted authored comparison children,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-060,HirRuntimeSyntheticExprSite::AgentComparisonKind { call: ExprId },accepted kind field type from comparison projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-061,HirRuntimeSyntheticExprSite::AgentComparisonOperator { call: ExprId },accepted operator field type from comparison projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic string,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
