id,layer,path,surface,current_state,final_decision,phase,action,evidence
ASF-INV-00047,runtime-plan facts,crates/arcweft-runtime-plan/src/semantic_facts.rs,synthetic expression/pattern maps,absent,extend same accepted aggregate; no sidecar,P03,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00048,runtime-plan facts,crates/arcweft-runtime-plan/src/semantic_facts.rs,into_lowering_parts,absent,move local table and facts; no clone,P03,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00049,runtime-plan lowering,crates/arcweft-runtime-plan/src/final_expr.rs,FinalExprLowerer,raw RuntimeExpr,borrow sole builder; return RuntimeTypedExpr,P04,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00050,runtime-plan lowering,crates/arcweft-runtime-plan/src/final_pattern.rs,FinalPatternLowerer,raw RuntimePattern,borrow sole builder; return RuntimeTypedPattern,P04,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00051,runtime-plan lowering,crates/arcweft-runtime-plan/src/final_flow.rs,independent nested lowerers,present,one owned builder and borrowed nested lowerers,P04,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00052,core nominal,crates/arcweft-core/src/value/nominal_record.rs,RuntimeNominalRecordFieldProjection::try_from_accepted_ordinal,missing,public checked constructor/accessors on original type,P05,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00053,compiler nominal,crates/arcweft-compiler/src/lower.rs,field projection construction,cannot call final API,enumerate accepted layout and call checked constructor,P05,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00054,core generation,crates/arcweft-core/src/plan/generation_facts.rs,RuntimeProjectRootFact/RuntimeProducerFact,absent,derive roots internally,P05,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00055,core generation,crates/arcweft-core/src/plan/generation_facts.rs,RuntimeGenerationFactAggregate,absent,canonical lower-layer facts plus owner catalog facts,P06,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00056,core generation,crates/arcweft-core/src/plan/generation_admission.rs,AdmittedRuntimeGeneration,absent,public trusted-integrator structural issuance,P06,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00057,core admission,crates/arcweft-core/src/plan/admission.rs,try_admit_runtime_plan,absent,free consuming admission with independent parent,P07,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00058,core admission,crates/arcweft-core/src/plan.rs,RuntimePlan self-admission,forbidden conceptual path,must not exist,P07,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00059,core AWBC,crates/arcweft-core/src/awbc/schema.rs,AwbcNominalRecordDomainId/table,absent,one canonical table/private ID,P08,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00060,core AWBC,crates/arcweft-core/src/awbc/builder.rs,AwbcProgramBuilder,partial/raw inventory,sole builder and domain handle remap,P08,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00061,core AWBC,crates/arcweft-core/src/awbc/schema.rs,AwbcProgram public fields,present,private accessors/custom v1 decode,P08,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00062,core AWBC,crates/arcweft-core/src/awbc/schema.rs,MakeRecord ty+field_names,present,closed structural/nominal construction operand,P08,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00063,core AWBC,crates/arcweft-core/src/awbc/schema.rs,Record constant ty+field_names,present,closed structural/nominal construction operand,P08,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00064,runtime-plan AWBC,crates/arcweft-runtime-plan/src/awbc_lower.rs,AwbcLowerer raw plan/program mutation,present,input AdmittedRuntimePlan; builder-only output,P09,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00065,core AWBC admission,crates/arcweft-core/src/awbc/admission.rs,try_admit_awbc_program,absent,independent same-parent/plan-key admission,P09,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00066,core product,crates/arcweft-core/src/runtime_product.rs,AdmittedRuntimeProduct,absent,same-parent plan/AWBC pair,P09,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00067,core checked value,crates/arcweft-core/src/runtime_product.rs,checked_value_context/nominal_record_domain,absent,inherent methods only after product exists,P10,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00068,compiler,crates/arcweft-compiler/src/lib.rs,CompilerRuntimeProduct/Evidence,absent,official compiler-path private evidence,P11,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00069,bundle,crates/arcweft-bundle/src/product_awbc/runtime_generation.rs,VerifiedRuntimeBundleProduct,absent,full owned verified product/trust result,P11,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00070,bundle,crates/arcweft-bundle/src/product_awbc/runtime_generation.rs,decoded fact section as publication token,possible partial path,quarantine only,P12,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00071,driver,crates/arcweft-runtime-driver/src/generation_runtime.rs,publish_runtime_generation,raw surfaces,verified-product-only publication,P13,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00072,bundle dependency,crates/arcweft-bundle/Cargo.toml,compiler dependency,absent and must remain absent,bundle byte verifier never imports compiler,P11,retain/delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00073,compiler bridge,crates/arcweft-compiler/src/runtime_product.rs,verify_compiler_runtime_product,absent,compiler-owned v1 transcript bridge to bundle verifier,P12,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00074,JIT dependency,crates/arcweft-lang-jit-cranelift/Cargo.toml,runtime-driver dependency,absent,add for PublishedRuntimeGeneration input,P14,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00075,AOT dependency,crates/arcweft-runtime-codegen/Cargo.toml,runtime-driver dependency,absent,add for PublishedRuntimeGeneration input,P14,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00076,save dependency,crates/arcweft-save/Cargo.toml,runtime-driver dependency,must remain absent,lower codec only; driver orchestrates above it,P15,retain/delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00077,core VM,crates/arcweft-core/src/awbc/vm.rs,raw AwbcProgram VM constructor,present/possible,admitted/published product only,P13,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00078,JIT,crates/arcweft-lang-jit-cranelift/src/lib.rs,raw plan/program input,possible,admitted/published product input,P13,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00079,AOT/codegen,crates/arcweft-runtime-codegen/src/lib.rs,raw plan/program input,possible,admitted/published product input,P13,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00080,accelerator,crates/arcweft-runtime-accelerator/src/lib.rs,raw artifact acceleration,possible,published/admitted context only,P13,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00081,driver,crates/arcweft-runtime-driver/src/swap.rs,hot swap,incomplete parent/trust boundary,"verified product, preflight, atomic same-parent commit",P14,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00082,save,crates/arcweft-save/src/lib.rs,restore/replay,raw/pre-generation decode paths possible,generation-first product context,P14,migrate,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00083,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Unit,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-001
ASF-INV-00084,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Literal,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-002
ASF-INV-00085,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::NumericBracketSequence,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-003
ASF-INV-00086,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::EntityReference,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-004
ASF-INV-00087,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Path,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-005
ASF-INV-00088,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::ShortVariant,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-006
ASF-INV-00089,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Tuple,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-007
ASF-INV-00090,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::BracketSequence,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-008
ASF-INV-00091,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::ArrayRepeat,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-009
ASF-INV-00092,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Call,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-010
ASF-INV-00093,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Select,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-011
ASF-INV-00094,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Range,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-012
ASF-INV-00095,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::RecordLiteral,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-013
ASF-INV-00096,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Record,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-014
ASF-INV-00097,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Binary,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-015
ASF-INV-00098,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Unary,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-016
ASF-INV-00099,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Closure,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-017
ASF-INV-00100,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Block,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-018
ASF-INV-00101,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::ComputationBlock,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-019
ASF-INV-00102,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::NamedBlock,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-020
ASF-INV-00103,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::If,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-021
ASF-INV-00104,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::IfLet,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-022
ASF-INV-00105,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Match,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-023
ASF-INV-00106,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::PostfixBracket,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-024
ASF-INV-00107,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Placeholder,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-025
ASF-INV-00108,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Index,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-026
ASF-INV-00109,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Pipe,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-027
ASF-INV-00110,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Try,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-028
ASF-INV-00111,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Await,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-029
ASF-INV-00112,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Thread,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-030
ASF-INV-00113,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Choice,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-031
ASF-INV-00114,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Borrow,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-032
ASF-INV-00115,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Dereference,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-033
ASF-INV-00116,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::DialogueContentApplication,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-034
ASF-INV-00117,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::Error,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-035
ASF-INV-00118,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::ForSynthetic,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-036
ASF-INV-00119,runtime-plan expression,crates/arcweft-runtime-plan/src/final_expr.rs,HirExprKind::LifetimePath,raw source-backed node,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,SRC-037
ASF-INV-00120,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::SpreadArgument { call: ExprId, authored_ordinal: u32 }",synthetic RuntimeExpr has no retained accepted type row,the exact accepted type of the spread operand ExprId; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-001
ASF-INV-00121,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::PostfixAlias { postfix: ExprId },synthetic RuntimeExpr has no retained accepted type row,"the exact accepted type of the resolved operand and selected postfix result, required equal; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts",P02-P04,add/migrate,SYN-002
