id,source_owner,runtime_nodes,accepted_type_source,classification,error_precedence,disposition
SRC-022,HirExprKind::IfLet,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-023,HirExprKind::Match,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-024,HirExprKind::PostfixBracket,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-025,HirExprKind::Placeholder,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-026,HirExprKind::Index,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-027,HirExprKind::Pipe,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-028,HirExprKind::Try,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-029,HirExprKind::Await,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-030,HirExprKind::Thread,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-031,HirExprKind::Choice,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-032,HirExprKind::Borrow,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-033,HirExprKind::Dereference,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-034,HirExprKind::DialogueContentApplication,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-035,HirExprKind::Error,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-036,HirExprKind::ForSynthetic,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
SRC-037,HirExprKind::LifetimePath,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,reject before RuntimePlanBuilder mutation
