row_class,site_variant,slot,current_table_owner,current_field_path,independent_type_resolution,mandatory_final_change,deliberate_exclusion
direct_awbc_typed_site,Instruction,MakeVariant.Destination,AwbcInstruction,MakeVariant.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeVariant.DeclaredType,AwbcInstruction,MakeVariant.ty,runtime type declaration,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeVariant.Payload,AwbcInstruction,MakeVariant.payload,frame(payload) when present,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,ProjectTuple.Destination,AwbcInstruction,ProjectTuple.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,ProjectTuple.Target,AwbcInstruction,ProjectTuple.target,frame(target) tuple,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,ProjectRecord.Destination,AwbcInstruction,ProjectRecord.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,ProjectRecord.Target,AwbcInstruction,ProjectRecord.target,frame(target) record,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,ProjectField.Destination,AwbcInstruction,ProjectField.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,ProjectField.Target,AwbcInstruction,ProjectField.target,frame(target) record,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Unary.Destination,AwbcInstruction,Unary.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Unary.Source,AwbcInstruction,Unary.src,frame(src),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Binary.Destination,AwbcInstruction,Binary.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Binary.Left,AwbcInstruction,Binary.lhs,frame(lhs),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Binary.Right,AwbcInstruction,Binary.rhs,frame(rhs),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallPureHelper.Destination,AwbcInstruction,CallPureHelper.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallPureHelper.Argument(argument:u32),AwbcInstruction,CallPureHelper.args[i],frame(args[i]); helper.signature.params[i],MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallIntrinsic.Destination,AwbcInstruction,CallIntrinsic.dst,optional frame(dst); intrinsic signature result,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallIntrinsic.Argument(argument:u32),AwbcInstruction,CallIntrinsic.args[i],frame(args[i]); intrinsic signature params[i],MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
deliberate_exclusion,Instruction,EnsureContent.NoTypedSlot,AwbcInstruction,EnsureContent,structural/reference checks only,none,no RuntimeValue type field for this variant
direct_awbc_typed_site,Instruction,EmitEffect.Argument(argument:u32),AwbcInstruction,EmitEffect.args[i],frame(args[i]); effect.signature parameter after static prefix,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,StartTask.Destination,AwbcInstruction,StartTask.dst,frame(dst); task signature result/handle rule,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,StartTask.Argument(argument:u32),AwbcInstruction,StartTask.args[i],frame(args[i]); task.signature.params[i],MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SpawnFiber.Destination,AwbcInstruction,SpawnFiber.dst,optional frame(dst); function signature result/handle rule,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SpawnFiber.Argument(argument:u32),AwbcInstruction,SpawnFiber.args[i],frame(args[i]); target function signature params[i],MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,StreamYield.Value,AwbcInstruction,StreamYield.value,frame(value); stream.item_type,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
deliberate_exclusion,Instruction,StreamClose.NoTypedSlot,AwbcInstruction,StreamClose,structural/reference checks only,none,no RuntimeValue type field for this variant
deliberate_exclusion,Instruction,SourceClose.NoTypedSlot,AwbcInstruction,SourceClose,structural/reference checks only,none,no RuntimeValue type field for this variant
direct_awbc_typed_site,Instruction,Drop.Register,AwbcInstruction,Drop.register,frame(register),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SourceYield.Value,AwbcInstruction,SourceYield.value,frame(value); source.item_type,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,AssignField.Target,AwbcInstruction,AssignField.target,frame(target) record,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,AssignField.Value,AwbcInstruction,AssignField.value,frame(value); selected field type,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallTraitMethod.Destination,AwbcInstruction,CallTraitMethod.dst,frame(dst); method result,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallTraitMethod.Receiver,AwbcInstruction,CallTraitMethod.receiver,frame(receiver); method receiver,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallTraitMethod.Argument(argument:u32),AwbcInstruction,CallTraitMethod.args[i],frame(args[i]); method signature parameter after receiver,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,CallTraitMethod.ReceiverOut,AwbcInstruction,CallTraitMethod.receiver_out,optional frame; same receiver type for mutable/owned,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,RegisterCleanup.Argument(argument:u32),AwbcInstruction,RegisterCleanup.args[i],frame(args[i]); effect signature after static prefix,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
deliberate_exclusion,Instruction,CancelCleanup.NoTypedSlot,AwbcInstruction,CancelCleanup,structural/reference checks only,none,no RuntimeValue type field for this variant
deliberate_exclusion,Instruction,MakeFunction.Destination,AwbcInstruction,MakeFunction.dst,frame(dst) operational Function shape,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,operational Function value is not a project/producer root because RuntimeCheckedType has no Function case
deliberate_exclusion,Instruction,MakeFunction.Capture(capture:u32),AwbcInstruction,MakeFunction.captures[i],frame(captures[i]); capture_names/target function capture contract,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,operational Function value is not a project/producer root because RuntimeCheckedType has no Function case
deliberate_exclusion,Instruction,ApplyFunction.Callee,AwbcInstruction,ApplyFunction.callee,frame(callee) Function shape,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,operational Function value is not a project/producer root because RuntimeCheckedType has no Function case
deliberate_exclusion,Instruction,ApplyFunction.Destination,AwbcInstruction,ApplyFunction.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,operational Function value is not a project/producer root because RuntimeCheckedType has no Function case
deliberate_exclusion,Instruction,ApplyFunction.Argument(argument:u32),AwbcInstruction,ApplyFunction.args[i],frame(args[i]); closure signature when retained,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,operational Function value is not a project/producer root because RuntimeCheckedType has no Function case
deliberate_exclusion,Terminator,Jump.NoTypedSlot,AwbcTerminator,Jump,structural/reference checks only,none,no direct typed value slot
direct_awbc_typed_site,Terminator,Branch.Condition,AwbcTerminator,Branch.condition,frame(condition) must Bool,none,
direct_awbc_typed_site,Terminator,Match.Scrutinee,AwbcTerminator,Match.scrutinee,frame(scrutinee); each match-arm pattern expected type,none,
direct_awbc_typed_site,Terminator,CallFunction.Argument(argument:u32),AwbcTerminator,CallFunction.args[i],frame(args[i]); target signature params[i],none,
direct_awbc_typed_site,Terminator,CallFunction.Destination,AwbcTerminator,CallFunction.dst,optional frame(dst); target result,none,
direct_awbc_typed_site,Terminator,GotoStatic.Argument(argument:u32),AwbcTerminator,GotoStatic.args[i],frame(args[i]); target signature params[i],none,
deliberate_exclusion,Terminator,GotoDynamic.Target,AwbcTerminator,GotoDynamic.target,frame(target) operational Function/Flow target,none,dynamic target is not a root until an exact retained signature exists; admission rejects it at root-correlated sites
deliberate_exclusion,Terminator,GotoDynamic.Argument(argument:u32),AwbcTerminator,GotoDynamic.args[i],dynamic target signature evidence,none,dynamic target is not a root until an exact retained signature exists; admission rejects it at root-correlated sites
deliberate_exclusion,Terminator,Dialogue.NoTypedSlot,AwbcTerminator,Dialogue,structural/reference checks only,none,no direct typed value slot
direct_awbc_typed_site,Terminator,Choice.Destination,AwbcTerminator,Choice.dst,frame(dst); canonical choice result declaration,none,
direct_awbc_typed_site,Terminator,Await.Handle,AwbcTerminator,Await.handle,frame(handle) TaskHandle,none,
direct_awbc_typed_site,Terminator,Await.Binding,AwbcTerminator,Await.binding,typed pattern expected equals task result,none,
direct_awbc_typed_site,Terminator,AwaitMany.Source,AwbcTerminator,AwaitMany.source,frame(source) sequence/iterator,none,
direct_awbc_typed_site,Terminator,AwaitMany.Binding,AwbcTerminator,AwaitMany.binding,typed pattern expected equals task item,none,
direct_awbc_typed_site,Terminator,HostCall.Argument(argument:u32),AwbcTerminator,HostCall.args[i],frame(args[i]); host call signature params[i],none,
direct_awbc_typed_site,Terminator,HostCall.Destination,AwbcTerminator,HostCall.dst,optional frame(dst); host call result,none,
direct_awbc_typed_site,Terminator,Return.Value,AwbcTerminator,Return.value,optional frame(value); owning function result,none,
deliberate_exclusion,Terminator,Trap.NoTypedSlot,AwbcTerminator,Trap,structural/reference checks only,none,no direct typed value slot
deliberate_exclusion,Terminator,BudgetYield.NoTypedSlot,AwbcTerminator,BudgetYield,structural/reference checks only,none,no direct typed value slot
deliberate_exclusion,Terminator,Unreachable.NoTypedSlot,AwbcTerminator,Unreachable,structural/reference checks only,none,no direct typed value slot
direct_awbc_typed_site,Pattern,Bind.Expected,AwbcProgram.patterns,patterns[p].expected,mandatory AwbcTypedPattern.expected; Bind.expected field must be absent or equal and is removed as duplicate,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Discard.Expected,AwbcProgram.patterns,patterns[p].wrapper.expected,mandatory typed pattern wrapper,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Literal.Expected,AwbcProgram.patterns,patterns[p].literal constant,typed constant type equals wrapper.expected,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Entity.Expected,AwbcProgram.patterns,patterns[p].entity reference,wrapper.expected must EntityReference,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Tuple.Expected,AwbcProgram.patterns,patterns[p].items,wrapper.expected tuple; each child expected derived by ordinal,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Record.Expected,AwbcProgram.patterns,patterns[p].ty/fields,wrapper.expected record; current optional ty removed; fields resolve descriptor,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Sequence.Expected,AwbcProgram.patterns,patterns[p].items/rest,wrapper.expected sequence; children/remainder derived,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Variant.Expected,AwbcProgram.patterns,patterns[p].ty/case/payload,wrapper.expected exact variant; child payload derived,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,Pattern,Whole.Expected,AwbcProgram.patterns,patterns[p].inner,wrapper.expected; inner same; target register same type,"replace row with AwbcTypedPattern { pattern, expected }",
direct_awbc_typed_site,TaskPlan,Parameter(parameter:u32),AwbcProgram.task_plans,task_plans[t].signature / many,task.signature.params[i],no generic slot; AwbcTaskPlanTypedSlot is this closed enum,
direct_awbc_typed_site,TaskPlan,Result,AwbcProgram.task_plans,task_plans[t].signature / many,task.signature.result,no generic slot; AwbcTaskPlanTypedSlot is this closed enum,
direct_awbc_typed_site,TaskPlan,AwaitManyItem,AwbcProgram.task_plans,task_plans[t].signature / many,task.many.item_binding frame slot compared to result/item contract,no generic slot; AwbcTaskPlanTypedSlot is this closed enum,
direct_awbc_typed_site,AudioCommand,PlayVoice,AwbcProgram.audio_commands,Play.voice,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,PlayResource,AwbcProgram.audio_commands,Play.resource,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,PlayBus,AwbcProgram.audio_commands,Play.bus,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,PlayGainDbMilli,AwbcProgram.audio_commands,Play.gain_db_milli,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,PlayPanMilli,AwbcProgram.audio_commands,Play.pan_milli,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,PlayStartFrame,AwbcProgram.audio_commands,Play.start_frame,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,PlayFadeInMillis,AwbcProgram.audio_commands,Play.fade_in_millis,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,StopVoice,AwbcProgram.audio_commands,Stop.voice,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,StopFadeOutMillis,AwbcProgram.audio_commands,Stop.fade_out_millis,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,StopAllFadeOutMillis,AwbcProgram.audio_commands,StopAll.fade_out_millis,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetVoiceGainVoice,AwbcProgram.audio_commands,SetVoiceGain.voice,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetVoiceGainValue,AwbcProgram.audio_commands,SetVoiceGain.gain_db_milli,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetVoiceGainTransition,AwbcProgram.audio_commands,SetVoiceGain.transition_millis,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetVoicePanVoice,AwbcProgram.audio_commands,SetVoicePan.voice,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetVoicePanValue,AwbcProgram.audio_commands,SetVoicePan.pan_milli,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetVoicePanTransition,AwbcProgram.audio_commands,SetVoicePan.transition_millis,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetBusGainBus,AwbcProgram.audio_commands,SetBusGain.bus,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
direct_awbc_typed_site,AudioCommand,SetBusGainValue,AwbcProgram.audio_commands,SetBusGain.gain_db_milli,AwbcAudioValueRef::Arg(n) -> owning effect signature parameter n; Const(c) -> AwbcTypedConstant[c].ty,closed named mandatory slot; actual command field emits one direct site,
