path,sha256,bytes,lines,commit,retrieval,evidence,raw_url
crates/arcweft-core/src/plan/entry_inventory.rs,dc848fa6a4d280d0e6c3eff0b385ee35529959374cd2b98b8dff9cd2811c8418,24048,651,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,"entry tables, routes, roles, command/state/event ownership",https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/plan/entry_inventory.rs
crates/arcweft-core/src/plan/generation_contract.rs,88f98d683651242d499d2f43ccab41413d8706690487cb396000dd691dc0809a,3380,98,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current generation/digest/root scalar newtypes,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/plan/generation_contract.rs
crates/arcweft-core/src/plan.rs,89ae205329ac9297a11b5bbfe676f02be55334e52acc2c17125067ed3c841340,36172,1096,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,"current RuntimePlan tables, RuntimePureHelper/TraitMethod, FlowOp expression/pattern/value sites",https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/plan.rs
crates/arcweft-core/src/source.rs,eaa28a070b06340d6e2ef835f0831352da8f8429291c1b6bdd7827270ff5eac0,7433,268,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current SourcePlan handler/open typed gaps,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/source.rs
crates/arcweft-core/src/stream.rs,2f61ba44dd4d0a2ac8305de6e14c4986cc84dbf76e7d959f3709ff57b5f3790b,4422,160,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current StreamPlan typed gaps and function references,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/stream.rs
crates/arcweft-core/src/task.rs,7435fc34897bb6ac1853aecb1d562bc3c93adf11fe8ab5df1a649cc49eb186c6,17709,596,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current Await/AwaitMany host/task argument and binding surfaces,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/task.rs
crates/arcweft-core/src/value/integer.rs,725feb5dabf6fbe5958662258216665ef36267e680077034e3289325d0840d3b,8891,288,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/value/integer.rs
crates/arcweft-core/src/value/nominal_record.rs,f5090edf488c103f9a1d8d158b367670bfe3eb81c434ec0c6bb4fe565081720a,14621,442,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,raw nominal value stores nominal/layout/fields but not semantic ID; checked layout authority,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/value/nominal_record.rs
crates/arcweft-core/src/value/ownership/path.rs,5165e0c556a6dab4f168ca86a281f0e3fc7941fc5f610af0f95d0e7f19ee3560,15400,397,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,"existing canonical public RuntimeValuePath, exact segments, maximum depth, ordering, custom Serde",https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/value/ownership/path.rs
crates/arcweft-core/src/value/ownership.rs,502b97b9b02ba1b799fd2115d6d4d6fb4508275776d8401545356cebcf90f0c7,8500,240,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,affine ownership traversal consumers of canonical value paths,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/value/ownership.rs
crates/arcweft-core/src/value.rs,a6aebb5a9752e3e337a2f27e3ba9c30dbc104095aac8ece47a1876e83efe0ed3,92140,2705,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,complete current RuntimeValue variants and RuntimeExpr owner,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/value.rs
crates/arcweft-dialogue/Cargo.toml,97c2ef169ceac490ce2f46ca32861407e40788a99fa0a819bda7103a81efaead,709,29,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,"dialogue already depends on core, character, and View; no runtime-driver dependency",https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-dialogue/Cargo.toml
crates/arcweft-dialogue/src/character_dialogue/patch.rs,3f8665e6a5a796505ea87570467d0763603bf87731546ff12f5ad56ac4a545e1,19098,571,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-dialogue/src/character_dialogue/patch.rs
crates/arcweft-dialogue/src/character_dialogue/schema.rs,445643873302164bfba966dcb71bb4af131c2488c761165e041163d5185a462f,37326,1076,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,dialogue schema construction and current catalog/type inputs,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-dialogue/src/character_dialogue/schema.rs
crates/arcweft-interaction-model/src/dialogue.rs,93d87c10572185ffc9b903c6bcddadbe77380bdafd62326b4f4884f8d9eff4dc,5205,149,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,lower role/custom-field vocabulary and tags,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-interaction-model/src/dialogue.rs
crates/arcweft-lang-sema/src/character_dialogue.rs,a7353e6ad3351e38e52a98d119de1c467043d0619c35a3c5e4f7d79bba4b49f1,11435,349,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current CharacterDialogue registry tied to AcceptedNominalWorldStamp,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-lang-sema/src/character_dialogue.rs
crates/arcweft-lang-sema/src/env/base.rs,428c14147692054ab0623f1ed90684275a9c595c4557205ff3431cff87437340,44457,1265,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current TypeCheckEnv owner and builder APIs,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-lang-sema/src/env/base.rs
crates/arcweft-lang-sema/src/registration/model.rs,038b9ca47bf44c16cfc02aef98750a4b40e73e38dad014e6a27e7ce0e7906a28,40053,1134,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,AcceptedNominalWorld and RegisteredTypeCheckEnv exact owners,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-lang-sema/src/registration/model.rs
crates/arcweft-lang-sema/src/registration/registrar.rs,5e388b04046c38ea4fb42b3323f180f9772ab6d2eee22d496d67ec4201921377,74115,1800,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,atomic registrar construction/publication sequence,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-lang-sema/src/registration/registrar.rs
crates/arcweft-lang-sema/src/types.rs,d61db35cb5f2629a55bdc4598c3e688fd0df653b86f828d7b8ce4c9780c99ec6,32401,1013,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,TypeKind and accepted nominal/runtime checked projection vocabulary,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-lang-sema/src/types.rs
crates/arcweft-runtime-driver/src/session_save.rs,60230d55908a5fcfebdb77d53efea8e67424be1ee95ebd22bd57f6347bfbd78c,15050,372,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-driver/src/session_save.rs
crates/arcweft-runtime-driver/src/view_runtime.rs,651995d08c45703988407914b39bfe72e977314b94b00d9cfdf88c5bfa102c65,49357,1291,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-driver/src/view_runtime.rs
crates/arcweft-runtime-plan/src/awbc_lower.rs,41c2f9af46cfce7e9d8094060d6ec63af2dfd48c63c1ba013028f53410ec0a9f,5483,170,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,plan-to-AWBC lowering and origin preservation surface,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-plan/src/awbc_lower.rs
crates/arcweft-runtime-plan/src/final_expr.rs,d57fd77a6899cee757dd1175d07f3448aec559ad1be554f16b52b4897589fde8,36942,885,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,final expression lowering source,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-plan/src/final_expr.rs
crates/arcweft-runtime-plan/src/final_flow.rs,19506590e80f730e9c0dfa0b340b32a7f4b354f83ea7dd9ca45d1293d2f595a6,79314,1984,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,FlowOp construction and expression/pattern sites,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-plan/src/final_flow.rs
crates/arcweft-runtime-plan/src/final_pattern.rs,41d4cc8221406b98d22844cf1777b053e919dd796a59093c027fae081b2f8c05,9208,212,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,final pattern lowering source,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-plan/src/final_pattern.rs
crates/arcweft-runtime-plan/src/lib.rs,06155b87a48c30177f6bc7af3d2efbec21ee7d808a6ddf31f375e5fcdf3ef28d,711,25,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-plan/src/lib.rs
crates/arcweft-runtime-plan/src/semantic_facts.rs,37ca1d3f0816f211ef6dc96dd0c553dea9496a532e3c029a01506932dea0d71f,90451,2527,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,accepted semantic checked-type projection and source facts,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-runtime-plan/src/semantic_facts.rs
docs/AGENTS.md,40ef407718c7b6f44b1f79d8dcd92c562d3ff4649557ecfeff37a33d7fd86c2d,2247,51,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,documentation authority and performed-versus-not-run evidence,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/docs/AGENTS.md
docs/implementation/AGENTS.md,2874d75d223345eb8bbbf7d25b3474d4f8a9023ae7807acb7ed8ebbbe1b15da4,1866,31,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,implementation evidence boundaries and command-result requirements,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/docs/implementation/AGENTS.md
docs/reviews/AGENTS.md,711dad4ccf1f90f61052e0fa8d3b82ab49c20908919b43d795bed3f65596abab,4082,72,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,"design-only package readiness, closure, ZIP and manifest requirements",https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/docs/reviews/AGENTS.md
docs/reviews/README.md,6c6b69b0956b504f010090b78129fa4a51bcc74d817073c70b5dba60bc307240,3831,72,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,review package intake conventions and archive naming,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/docs/reviews/README.md
