variant,disposition,recursion,runtime_projection,live_carrier,canonical_identity,snapshot_codec,rejection,notes
U64,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
U128,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
USize,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
F32,Copy,none,,RuntimeValue::F32,canonical RuntimeValue visitor for RuntimeValue::F32,RuntimeValueSnapshotV1::F32,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
F64,Copy,none,,RuntimeValue::F64,canonical RuntimeValue visitor for RuntimeValue::F64,RuntimeValueSnapshotV1::F64,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
String,SnapshotClone,none,RuntimePlanTypeProjection::String,RuntimeValue::String(String),canonical RuntimeValue String tag + validated UTF-8 bytes,RuntimeValueSnapshotV1::String,,TextCluster and DisplayText projection validation occurs before constructing the shared String carrier; no source spelling is retained.
Char,Copy,none,,RuntimeValue::Char,canonical RuntimeValue visitor for RuntimeValue::Char,RuntimeValueSnapshotV1::Char,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
Bytes,SnapshotClone,none; every element is validated U8,RuntimePlanTypeProjection::Bytes,"RuntimeValue::Seq(RuntimeSeq::Values([RuntimeValue::UInt(RuntimeUInt::U8(_)), ...]))",canonical RuntimeValue Seq transcript with exact U8 element tags,RuntimeValueSnapshotV1::Seq(RuntimeSeqSnapshotV1::Values),,The same-cut projection forbids dense non-U8 storage for this semantic type.
TextCluster,SnapshotClone,none,RuntimeTextClusterProjectionV1::ValidatedUtf8,RuntimeValue::String(String),canonical RuntimeValue String tag + validated UTF-8 bytes,RuntimeValueSnapshotV1::String,,TextCluster and DisplayText projection validation occurs before constructing the shared String carrier; no source spelling is retained.
Duration,Copy,none,,RuntimeValue::Duration,canonical RuntimeValue visitor for RuntimeValue::Duration,RuntimeValueSnapshotV1::Duration,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
Progress,SnapshotClone,none,RuntimePlanTypeProjection::Progress,RuntimeValue::Progress(arcweft_need::Progress),canonical RuntimeValue Progress transcript with exact f32 bits and optional label,RuntimeValueSnapshotV1::Progress,,
StageApi,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
LineContext,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
StageActorHandle,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
CueHandle,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
VoiceHandle,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
Range,Reject,none,RuntimePlanTypeProjection::Range,RuntimeValue::Range,,RuntimeValueSnapshotV1::Range,MissingCanonicalIdentity,"A save carrier exists, but the current sole canonical identity grammar has no admitted stable Range identity."
IteratorState,Reject,none,RuntimePlanTypeProjection::Iterator,RuntimeValue::Iterator,,RuntimeValueSnapshotV1::Iterator,FrameLocalValue,Iterator cursor state is frame/session local and is not producer-retainable.
DisplayText,SnapshotClone,none,RuntimeDisplayTextProjectionV1::ValidatedUtf8,RuntimeValue::String(String),canonical RuntimeValue String tag + validated UTF-8 bytes,RuntimeValueSnapshotV1::String,,TextCluster and DisplayText projection validation occurs before constructing the shared String carrier; no source spelling is retained.
DebugStatePath,SnapshotClone,none,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::DebugStatePath),RuntimeValue::Agent(RuntimeAgentValue::DebugStatePath(RuntimeAgentPath)),canonical RuntimeValue Agent/DebugStatePath transcript,RuntimeValueSnapshotV1::Agent(RuntimeAgentSnapshotV1::DebugStatePath),,
ObservationFieldPath,SnapshotClone,none,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ObservationFieldPath),RuntimeValue::Agent(RuntimeAgentValue::ObservationFieldPath(RuntimeAgentPath)),canonical RuntimeValue Agent/ObservationFieldPath transcript,RuntimeValueSnapshotV1::Agent(RuntimeAgentSnapshotV1::ObservationFieldPath),,
Ref,SnapshotClone,do not recurse associated payload type,RuntimePlanTypeProjection::Reference(payload_type),RuntimeValue::EntityRef(String),canonical RuntimeValue EntityRef transcript,RuntimeValueSnapshotV1::EntityRef,,"The payload type is a lookup contract, not an owned child value."
Probe,SnapshotClone,validate the checked probe-result type certificate; no child RuntimeValue is owned,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::Probe(result_type)),RuntimeValue::Agent(RuntimeAgentValue::Probe(RuntimeAgentProbe)),canonical RuntimeValue Agent/Probe transcript,RuntimeValueSnapshotV1::Agent(RuntimeAgentSnapshotV1::Probe),,
Predicate,SnapshotClone,none,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::Predicate),RuntimeValue::Agent(RuntimeAgentValue::Predicate(RuntimeAgentPredicate)),"canonical RuntimeValue Agent/Predicate transcript, recursively visiting predicate-owned RuntimeValue operands only",RuntimeValueSnapshotV1::Agent(RuntimeAgentSnapshotV1::Predicate),,"Predicate is a TypeKind leaf. The predicate value encoder may visit value operands, but the TypeKind classifier has no child edge."
Observation,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::Observation); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
ObservedObject,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ObservedObject); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentBBox,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::BoundingBox); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
ActionName,SnapshotClone,closed variant payloads in declaration order,RuntimeAgentClosedVariantProjectionV1::ActionName,"RuntimeValue::Variant { owner: RuntimeVariantIdentity, ordinal, name, payload } with owner and ordinal derived from the accepted Agent prelude catalog",canonical RuntimeValue Variant transcript; display name is validated but identity is owner+ordinal+payload,RuntimeValueSnapshotV1::Variant,,The projection owner is fully specified in this cut and rejects a mismatched display name or payload layout.
ActionTarget,SnapshotClone,none,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ActionTarget),RuntimeValue::Agent(RuntimeAgentValue::ActionTarget(RuntimeAgentActionTarget)),canonical RuntimeValue Agent/ActionTarget transcript,RuntimeValueSnapshotV1::Agent(RuntimeAgentSnapshotV1::ActionTarget),,
ActionResult,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ActionResult); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentValue,SnapshotClone,closed variant payloads in declaration order,RuntimeAgentClosedVariantProjectionV1::AgentValue,"RuntimeValue::Variant { owner: RuntimeVariantIdentity, ordinal, name, payload } with owner and ordinal derived from the accepted Agent prelude catalog",canonical RuntimeValue Variant transcript; display name is validated but identity is owner+ordinal+payload,RuntimeValueSnapshotV1::Variant,,The projection owner is fully specified in this cut and rejects a mismatched display name or payload layout.
DataFormat,SnapshotClone,closed variant payloads in declaration order,RuntimeAgentClosedVariantProjectionV1::DataFormat,"RuntimeValue::Variant { owner: RuntimeVariantIdentity, ordinal, name, payload } with owner and ordinal derived from the accepted Agent prelude catalog",canonical RuntimeValue Variant transcript; display name is validated but identity is owner+ordinal+payload,RuntimeValueSnapshotV1::Variant,,The projection owner is fully specified in this cut and rejects a mismatched display name or payload layout.
DataShape,SnapshotClone,closed variant payloads in declaration order,RuntimeAgentClosedVariantProjectionV1::DataShape,"RuntimeValue::Variant { owner: RuntimeVariantIdentity, ordinal, name, payload } with owner and ordinal derived from the accepted Agent prelude catalog",canonical RuntimeValue Variant transcript; display name is validated but identity is owner+ordinal+payload,RuntimeValueSnapshotV1::Variant,,The projection owner is fully specified in this cut and rejects a mismatched display name or payload layout.
AgentEntityMetadata,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::EntityMetadata); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentSourceAnchor,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::SourceAnchor); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentProjectGraphNeighborhood,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ProjectGraphNeighborhood); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentProjectGraphSymbol,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ProjectGraphSymbol); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentProjectGraphEdge,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ProjectGraphEdge); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
CaptureTarget,SnapshotClone,none,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::CaptureTarget),RuntimeValue::Agent(RuntimeAgentValue::CaptureTarget(RuntimeAgentCaptureTarget)),canonical RuntimeValue Agent/CaptureTarget transcript,RuntimeValueSnapshotV1::Agent(RuntimeAgentSnapshotV1::CaptureTarget),,
CaptureRef,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::CaptureReference); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentResource,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::Resource); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentResourceBody,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::ResourceBody); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
RagContextPack,SnapshotClone,closed protocol-record fields in accepted declaration order,RuntimePlanTypeProjection::Agent(RuntimeAgentTypeProjection::RagContextPack); RuntimeAgentProtocolRecordProjectionV1,"RuntimeValue::NominalRecord(RuntimeNominalRecordValue { type_id: core-owned Agent protocol nominal id, layout: accepted Agent protocol TypeLayoutHash, fields })",canonical RuntimeValue NominalRecord transcript over exact accepted Agent protocol type/layout and source-order fields,RuntimeValueSnapshotV1::NominalRecord,,RuntimeAgentProtocolRecordProjectionV1 is fully specified in this cut and derives type_id/layout from RuntimeAgentOperationalType; it is not a family-name side table.
AgentBuiltin,Delegate,delegate to the exact closed AgentBuiltinType case,RuntimeAgentBuiltinProjectionV1::from_checked_case,the exact carrier named by the delegated current TypeKind row,the exact canonical transcript named by the delegated row,the exact RuntimeValueSnapshotV1 row named by the delegated row,,No generic opaque or string fallback exists; an unlisted AgentBuiltinType case rejects.
Vec,SnapshotClone,classify item; Array also validates exact accepted length; Slice snapshots an owned copy,RuntimePlanTypeProjection::Sequence,"RuntimeValue::Seq(RuntimeSeq), with Slice projected to an owned RuntimeSeq",canonical RuntimeValue Seq transcript,RuntimeValueSnapshotV1::Seq,,
Array,SnapshotClone,classify item; Array also validates exact accepted length; Slice snapshots an owned copy,RuntimePlanTypeProjection::Array,"RuntimeValue::Seq(RuntimeSeq), with Slice projected to an owned RuntimeSeq",canonical RuntimeValue Seq transcript,RuntimeValueSnapshotV1::Seq,,
Slice,SnapshotClone,classify item; Array also validates exact accepted length; Slice snapshots an owned copy,RuntimePlanTypeProjection::Sequence,"RuntimeValue::Seq(RuntimeSeq), with Slice projected to an owned RuntimeSeq",canonical RuntimeValue Seq transcript,RuntimeValueSnapshotV1::Seq,,
Seq,SnapshotClone,classify item; Array also validates exact accepted length; Slice snapshots an owned copy,RuntimePlanTypeProjection::Sequence,"RuntimeValue::Seq(RuntimeSeq), with Slice projected to an owned RuntimeSeq",canonical RuntimeValue Seq transcript,RuntimeValueSnapshotV1::Seq,,
Map,Reject,validate key/value closure for diagnostics only,RuntimePlanTypeProjection::Map,,,,MissingRuntimeSnapshotOwner,No unconditional canonical Map carrier/snapshot owner exists.
BorrowRef,Reject,none,,,,,BorrowedValue,Borrow kind and lifetime remain exact; no owned snapshot projection is fabricated.
Need,SnapshotClone,do not classify payload ownership; require exact RuntimeTypeSemanticDigest and producer argument admission,RuntimePlanTypeProjection::Need(payload_type),RuntimeValue::NeedHandle(RuntimeNeedHandle),canonical RuntimeValue tag 20 + NeedId only,RuntimeValueSnapshotV1::NeedHandle(RuntimeNeedHandleSnapshotV1),,
Stream,Reject,none,RuntimePlanTypeProjection::Stream,,,,StreamValue,Protected affine stream owner.
Result,SnapshotClone,classify child types in semantic/source order,RuntimePlanTypeProjection::Result,RuntimeValue::Variant with accepted Result owner/case,canonical RuntimeValue transcript for RuntimeValue::Variant with accepted Result owner/case,RuntimeValueSnapshotV1::Tuple or ::Variant as selected by the exact projection,,
Option,SnapshotClone,classify child types in semantic/source order,RuntimePlanTypeProjection::Option,RuntimeValue::Variant with accepted Option owner/case,canonical RuntimeValue transcript for RuntimeValue::Variant with accepted Option owner/case,RuntimeValueSnapshotV1::Tuple or ::Variant as selected by the exact projection,,
Handle,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
ThreadHandle,Reject,none,,,,,AffineValue,Runtime-owned capability/handle; no snapshot-clone producer value identity is admitted.
Shared,Reject,none,RuntimePlanTypeProjection::Shared,,,,MissingRuntimeSnapshotOwner,"This correction does not introduce a core Shared carrier, canonical identity, or snapshot codec."
Function,RejectAtTypeLevel,none,,,,,FunctionValueRequiresCertificate,Only a concrete capture-free stable callable may receive a value-level certificate naming RuntimeCallableId and CallableContractHash; closure/function types are not admitted generically.
GenericParam,Reject,none,,,,,UnresolvedType,Must be resolved to a closed accepted owner before admission.
ProjectNominal,SnapshotClone,walk accepted fields/cases in declaration order with semantic-id cycle guard,"RuntimePlanTypeProjection::ProjectNominal { nominal: RuntimeNominalTypeId, layout: TypeLayoutHash, arguments }",RuntimeValue::NominalRecord(RuntimeNominalRecordValue) or RuntimeValue::Variant with the same accepted nominal owner/layout,canonical NominalRecord/Variant transcript including exact nominal owner and TypeLayoutHash,RuntimeValueSnapshotV1::NominalRecord or ::Variant selected by the accepted declaration shape,,
AcceptedNominal,Delegate,Exact -> accepted child layout; Opaque -> class/persistence; Character -> accepted character fields,RegisteredSemanticWorld accepted nominal record with mandatory exact semantics,Exact: NominalRecord/Variant; Opaque Plain: RuntimeValue::Opaque; Character: NominalRecord,Exact/Character canonical aggregate transcript; Opaque uses the sole opaque transcript and accepts Plain+ConstantAndSnapshot or Plain+SnapshotOnly,RuntimeValueSnapshotV1::NominalRecord/Variant/Opaque,,AffineHandle is rejected even though its snapshot projection may exist for non-identity save state.
OpenNominal,Reject,none,,,,,UnresolvedType,Must be resolved to a closed accepted owner before admission.
Error,Reject,none,,,,,UnresolvedType,Must be resolved to a closed accepted owner before admission.
Projection,Reject,none,,,,,UnresolvedType,Must be resolved to a closed accepted owner before admission.
CharacterPatch,SnapshotClone,walk accepted dialogue/character fields in declaration order,RuntimeDialogueNominalProjectionV1::CharacterPatch,RuntimeValue::NominalRecord(RuntimeNominalRecordValue) with accepted dialogue/character RuntimeNominalTypeId and TypeLayoutHash,canonical RuntimeValue NominalRecord transcript,RuntimeValueSnapshotV1::NominalRecord,,
FocusPatch,SnapshotClone,walk accepted dialogue/character fields in declaration order,RuntimeDialogueNominalProjectionV1::FocusPatch,RuntimeValue::NominalRecord(RuntimeNominalRecordValue) with accepted dialogue/character RuntimeNominalTypeId and TypeLayoutHash,canonical RuntimeValue NominalRecord transcript,RuntimeValueSnapshotV1::NominalRecord,,
CharacterDialogue,SnapshotClone,walk accepted dialogue/character fields in declaration order,RuntimeDialogueNominalProjectionV1::CharacterDialogue,RuntimeValue::NominalRecord(RuntimeNominalRecordValue) with accepted dialogue/character RuntimeNominalTypeId and TypeLayoutHash,canonical RuntimeValue NominalRecord transcript,RuntimeValueSnapshotV1::NominalRecord,,
DialogueLine,Reject,none,,,,,FrameLocalValue,Non-escaping suspension/line-plan result.
ViewValue,Reject,none,,,,,MissingViewPersistenceEvidence,No public persistent View value carrier is introduced by this correction.
CharacterNominal,SnapshotClone,walk accepted dialogue/character fields in declaration order,RuntimeDialogueNominalProjectionV1::CharacterNominal,RuntimeValue::NominalRecord(RuntimeNominalRecordValue) with accepted dialogue/character RuntimeNominalTypeId and TypeLayoutHash,canonical RuntimeValue NominalRecord transcript,RuntimeValueSnapshotV1::NominalRecord,,
Named,Reject,none,,,,,UnresolvedType,Must be resolved to a closed accepted owner before admission.
Tuple,SnapshotClone,classify child types in semantic/source order,RuntimePlanTypeProjection::Tuple,RuntimeValue::Tuple,canonical RuntimeValue transcript for RuntimeValue::Tuple,RuntimeValueSnapshotV1::Tuple or ::Variant as selected by the exact projection,,
Choice,SnapshotClone,classify child types in semantic/source order,RuntimePlanTypeProjection::Choice,RuntimeValue::Variant with accepted Choice owner/case,canonical RuntimeValue transcript for RuntimeValue::Variant with accepted Choice owner/case,RuntimeValueSnapshotV1::Tuple or ::Variant as selected by the exact projection,,
Unit,Copy,none,,RuntimeValue::Unit,canonical RuntimeValue visitor for RuntimeValue::Unit,RuntimeValueSnapshotV1::Unit,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
Never,Copy,none,,,,,,Uninhabited. No live value or snapshot row can be constructed; classification is vacuously unrestricted and any attempted value construction is rejected earlier.
