name,kind,versioned,version,fields,variants,key,order,bound,invariants,references,unknown_fields,duplicate_fields,trailing_bytes
TaskLifecycleSnapshotV1,enum,False,,[],"[[""Accepted"",[]],[""Running"",[]],[""Ready"",[]],[""InfrastructureFailed"",[]],[""Cancelled"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,"[""terminal variants agree with Need state""]",[],reject,reject,reject
TaskOutcomeContractSnapshotV1,struct,True,1,"[[""version"",""TaskOutcomeContractSnapshotVersion""],[""payload_type"",""RuntimeTypeSemanticDigest""],[""runtime_checked_type"",""RuntimeCheckedTypeSnapshotV1""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""runtime_checked_type semantic digest equals payload_type""]","[""RuntimeCheckedTypeSnapshotV1""]",reject,reject,reject
TaskDebugMetadataSnapshotV1,struct,True,1,"[[""version"",""TaskDebugMetadataSnapshotVersion""],[""label"",""Option<BoundedUtf8>""],[""origin"",""Option<BoundedUtf8>""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""diagnostic only; never read by identity/execution selection""]",[],reject,reject,reject
TaskExecutionSnapshotV1,enum,False,,[],"[[""Host"",[[""request"",""HostTaskRequestSnapshotV1""]]],[""Runtime"",[[""request"",""RuntimeTaskRequestSnapshotV1""]]]]",[],declaration order,RuntimeSnapshotLimits owner,"[""one closed discriminant; no parallel Option fields""]","[""HostTaskRequestSnapshotV1"",""RuntimeTaskRequestSnapshotV1""]",reject,reject,reject
HostTaskRequestSnapshotV1,enum,False,,[],"[[""FileReadText"",[[""path"",""BoundedUtf8""]]],[""FileReadBytes"",[[""path"",""BoundedUtf8""]]],[""FileWriteText"",[[""path"",""BoundedUtf8""],[""text"",""BoundedUtf8""]]],[""FileWriteBytes"",[[""path"",""BoundedUtf8""],[""bytes"",""BoundedBytes""]]],[""HttpFetch"",[[""url"",""BoundedUtf8""],[""method"",""BoundedUtf8""],[""headers"",""Vec<HeaderSnapshotV1>""],[""body"",""Option<RuntimePayloadSnapshotV1>""]]],[""HttpRespond"",[[""request_id"",""BoundedUtf8""],[""status"",""u16""],[""headers"",""Vec<HeaderSnapshotV1>""],[""body"",""Option<RuntimePayloadSnapshotV1>""]]],[""ProcessRun"",[[""program"",""BoundedUtf8""],[""args"",""Vec<BoundedUtf8>""],[""env"",""Vec<EnvPairSnapshotV1>""]]],[""AssetLoad"",[[""id"",""BoundedUtf8""],[""kind"",""BoundedUtf8""]]],[""ShaderCompile"",[[""id"",""BoundedUtf8""],[""entry"",""Option<BoundedUtf8>""]]],[""AudioDecode"",[[""id"",""BoundedUtf8""]]],[""TtsSynthesis"",[[""voice"",""Option<BoundedUtf8>""],[""text"",""BoundedUtf8""]]],[""WasmCall"",[[""module"",""BoundedUtf8""],[""function"",""BoundedUtf8""],[""args"",""Vec<RuntimePayloadSnapshotV1>""]]],[""SystemInfo"",[[""kind"",""SystemInfoKind""]]],[""Custom"",[[""capability"",""HostCapabilityId""],[""operation"",""RuntimeHostOperationId""],[""args"",""Vec<RuntimePayloadSnapshotV1>""],[""named_args"",""Vec<NamedRuntimePayloadSnapshotV1>""]]]]",[],declaration order,RuntimeSnapshotLimits owner,"[""variant matches accepted HostOperation contract"",""all lists bounded; headers/env/named args retain source order unless owner contract requires canonical unique order""]","[""HeaderSnapshotV1"",""EnvPairSnapshotV1"",""RuntimePayloadSnapshotV1"",""NamedRuntimePayloadSnapshotV1""]",reject,reject,reject
HeaderSnapshotV1,struct,False,,"[[""name"",""BoundedUtf8""],[""value"",""BoundedUtf8""]]",[],[],declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
EnvPairSnapshotV1,struct,False,,"[[""name"",""BoundedUtf8""],[""value"",""BoundedUtf8""]]",[],[],declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
NamedRuntimePayloadSnapshotV1,struct,False,,"[[""name"",""BoundedUtf8""],[""value"",""RuntimePayloadSnapshotV1""]]",[],[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimePayloadSnapshotV1""]",reject,reject,reject
HostTaskStateSnapshotV1,struct,True,1,"[[""version"",""HostTaskStateSnapshotVersion""],[""correlation"",""TaskCorrelationSnapshotV1""],[""request"",""HostTaskRequestSnapshotV1""],[""phase"",""HostTaskPhaseSnapshotV1""],[""restore_policy"",""HostTaskRestorePolicySnapshotV1""]]",[],"[""correlation.task_id""]",declaration order,RuntimeSnapshotLimits owner,"[""request equals TaskSpec Host row"",""in-flight MustBeQuiescent rows make snapshot fail"",""Restartable rows are re-prepared by adapter on restore; no adapter-private token is serialized""]","[""TaskCorrelationSnapshotV1"",""HostTaskRequestSnapshotV1"",""HostTaskPhaseSnapshotV1"",""HostTaskRestorePolicySnapshotV1""]",reject,reject,reject
HostTaskPhaseSnapshotV1,enum,False,,[],"[[""Accepted"",[]],[""Dispatched"",[]],[""Terminal"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
HostTaskRestorePolicySnapshotV1,enum,False,,[],"[[""Restartable"",[]],[""MustBeQuiescent"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
RuntimeTaskRequestSnapshotV1,enum,False,,[],"[[""AwaitManyAggregate"",[[""request"",""RuntimeAwaitManyAggregateRequestSnapshotV1""]]],[""Timeout"",[[""request"",""RuntimeTimeoutRequestSnapshotV1""]]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimeAwaitManyAggregateRequestSnapshotV1"",""RuntimeTimeoutRequestSnapshotV1""]",reject,reject,reject
RuntimeAwaitManyAggregateRequestSnapshotV1,struct,True,1,"[[""version"",""RuntimeAwaitManyAggregateRequestSnapshotVersion""],[""source_items"",""Vec<RuntimeValueSnapshotV1>""],[""children"",""Vec<TaskSpecSnapshotV1>""],[""limit"",""NonZeroU32""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""source_items.len equals children.len"",""each child family is AwaitManyChild"",""each child producer arguments rehash from captured arguments, exact source index and item"",""limit bounded""]","[""RuntimeValueSnapshotV1"",""TaskSpecSnapshotV1""]",reject,reject,reject
RuntimeTimeoutRequestSnapshotV1,struct,True,1,"[[""version"",""RuntimeTimeoutRequestSnapshotVersion""],[""source"",""RuntimeNeedHandleSnapshotV1""],[""requested_limit"",""LogicalDurationSnapshotV1""],[""contract"",""NeedTimeoutContractDigest""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""source handle structurally validates"",""requested limit is the exact accepted duration"",""family is Timeout and policy JoinSameKey""]","[""RuntimeNeedHandleSnapshotV1"",""LogicalDurationSnapshotV1""]",reject,reject,reject
RuntimeTaskStateSnapshotV1,struct,True,1,"[[""version"",""RuntimeTaskStateSnapshotVersion""],[""tasks"",""Vec<RuntimeTaskRowSnapshotV1>""]]",[],[],tasks ascending TaskId,RuntimeSnapshotLimits owner,"[""one runtime row for every active Runtime execution launch and no Host launch""]","[""RuntimeTaskRowSnapshotV1""]",reject,reject,reject
RuntimeTaskRowSnapshotV1,struct,True,1,"[[""version"",""RuntimeTaskRowSnapshotVersion""],[""correlation"",""TaskCorrelationSnapshotV1""],[""state"",""RuntimeTaskRequestStateSnapshotV1""]]",[],"[""correlation.task_id""]",declaration order,RuntimeSnapshotLimits owner,[],"[""TaskCorrelationSnapshotV1"",""RuntimeTaskRequestStateSnapshotV1""]",reject,reject,reject
RuntimeTaskRequestStateSnapshotV1,enum,False,,[],"[[""AwaitManyAggregate"",[[""state"",""RuntimeAwaitManyAggregateTaskSnapshotV1""]]],[""Timeout"",[[""state"",""RuntimeTimeoutNeedSnapshotV1""]]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimeAwaitManyAggregateTaskSnapshotV1"",""RuntimeTimeoutNeedSnapshotV1""]",reject,reject,reject
RuntimeAwaitManyAggregateTaskSnapshotV1,struct,True,1,"[[""version"",""RuntimeAwaitManyAggregateTaskSnapshotVersion""],[""aggregate"",""TaskCorrelationSnapshotV1""],[""source_count"",""u32""],[""source_items"",""Vec<RuntimeValueSnapshotV1>""],[""child_specs"",""Vec<TaskSpecSnapshotV1>""],[""children"",""Vec<RuntimeAwaitManyChildSnapshotV1>""],[""limit"",""NonZeroU32""],[""launch_cursor"",""u32""],[""in_flight"",""u32""],[""outputs"",""Vec<Option<RuntimePayloadSnapshotV1>>""],[""publication_cursor"",""TaskPublicationCursorSnapshotV1""],[""terminal"",""Option<RuntimeAwaitManyTerminalSnapshotV1>""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""all source-indexed vectors have source_count length"",""children keyed by exact source index and ordered ascending"",""launch_cursor <= source_count"",""in_flight equals active child count and <= limit"",""outputs only for Ready child rows"",""terminal only after precedence rules""]","[""TaskCorrelationSnapshotV1"",""RuntimeValueSnapshotV1"",""TaskSpecSnapshotV1"",""RuntimeAwaitManyChildSnapshotV1"",""RuntimePayloadSnapshotV1"",""TaskPublicationCursorSnapshotV1"",""RuntimeAwaitManyTerminalSnapshotV1""]",reject,reject,reject
RuntimeAwaitManyChildSnapshotV1,struct,True,1,"[[""version"",""RuntimeAwaitManyChildSnapshotVersion""],[""source_index"",""u32""],[""observer"",""Option<TaskObserverId>""],[""handle"",""Option<RuntimeNeedHandleSnapshotV1>""],[""status"",""RuntimeAwaitManyChildStatusSnapshotV1""],[""last_cursor"",""Option<TaskPublicationCursorSnapshotV1>""]]",[],"[""source_index""]",declaration order,RuntimeSnapshotLimits owner,"[""handle and observer absent only before launch"",""Ready status has corresponding aggregate output"",""source index is unique and in range""]","[""RuntimeNeedHandleSnapshotV1"",""RuntimeAwaitManyChildStatusSnapshotV1"",""TaskPublicationCursorSnapshotV1""]",reject,reject,reject
RuntimeAwaitManyChildStatusSnapshotV1,enum,False,,[],"[[""NotLaunched"",[]],[""Waiting"",[]],[""Ready"",[]],[""InfrastructureFailed"",[[""failure"",""RuntimeTaskFailureSnapshotV1""]]],[""Cancelled"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimeTaskFailureSnapshotV1""]",reject,reject,reject
RuntimeAwaitManyTerminalSnapshotV1,enum,False,,[],"[[""Ready"",[]],[""InfrastructureFailed"",[[""failure"",""RuntimeTaskFailureSnapshotV1""]]],[""Cancelled"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimeTaskFailureSnapshotV1""]",reject,reject,reject
RuntimeTimeoutNeedSnapshotV1,struct,True,1,"[[""version"",""RuntimeTimeoutNeedSnapshotVersion""],[""output"",""TaskCorrelationSnapshotV1""],[""source"",""RuntimeNeedHandleSnapshotV1""],[""requested_limit"",""LogicalDurationSnapshotV1""],[""remaining"",""LogicalDurationSnapshotV1""],[""phase"",""RuntimeTimeoutPhaseSnapshotV1""],[""source_observer"",""Option<TaskObserverId>""],[""source_cursor"",""Option<TaskPublicationCursorSnapshotV1>""],[""publication_cursor"",""TaskPublicationCursorSnapshotV1""],[""terminal"",""Option<RuntimeTimeoutTerminalSnapshotV1>""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""remaining <= requested_limit"",""NotStarted has no observer/source cursor/terminal"",""Waiting has observer and no terminal"",""Resolved has terminal"",""output/source identities and payload types validate""]","[""TaskCorrelationSnapshotV1"",""RuntimeNeedHandleSnapshotV1"",""LogicalDurationSnapshotV1"",""RuntimeTimeoutPhaseSnapshotV1"",""TaskPublicationCursorSnapshotV1"",""RuntimeTimeoutTerminalSnapshotV1""]",reject,reject,reject
RuntimeTimeoutPhaseSnapshotV1,enum,False,,[],"[[""NotStarted"",[]],[""Waiting"",[]],[""Resolved"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
RuntimeTimeoutTerminalSnapshotV1,enum,False,,[],"[[""SourceReady"",[[""payload"",""RuntimePayloadSnapshotV1""]]],[""SourceInfrastructureFailed"",[[""failure"",""RuntimeTaskFailureSnapshotV1""]]],[""Expired"",[]],[""Cancelled"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimePayloadSnapshotV1"",""RuntimeTaskFailureSnapshotV1""]",reject,reject,reject
NeedCellSnapshotV1,struct,True,1,"[[""version"",""NeedCellSnapshotVersion""],[""need_id"",""NeedId""],[""producer"",""NeedProducerInstanceKey""],[""outcome"",""TaskOutcomeContractSnapshotV1""],[""state"",""NeedStateSnapshotV1""],[""last_publication"",""Option<TaskPublicationCursorSnapshotV1>""],[""observers"",""Vec<TaskObserverId>""]]",[],"[""need_id""]",observers ascending ObserverId,RuntimeSnapshotLimits owner,"[""NeedId rederives from producer/policy/ordinal through owning launch"",""observer ids unique and reverse links exact"",""terminal state agrees with launch lifecycle""]","[""TaskOutcomeContractSnapshotV1"",""NeedStateSnapshotV1"",""TaskPublicationCursorSnapshotV1""]",reject,reject,reject
NeedStateSnapshotV1,enum,False,,[],"[[""NotStarted"",[]],[""Pending"",[[""progress"",""ProgressSnapshotV1""]]],[""Ready"",[[""outcome"",""RuntimeNeedOutcomeSnapshotV1""]]],[""Cancelled"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""ProgressSnapshotV1"",""RuntimeNeedOutcomeSnapshotV1""]",reject,reject,reject
RuntimeNeedOutcomeSnapshotV1,enum,False,,[],"[[""Payload"",[[""payload"",""RuntimePayloadSnapshotV1""]]],[""InfrastructureFailure"",[[""failure"",""RuntimeTaskFailureSnapshotV1""]]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimePayloadSnapshotV1"",""RuntimeTaskFailureSnapshotV1""]",reject,reject,reject
RuntimeTaskFailureSnapshotV1,struct,True,1,"[[""version"",""RuntimeTaskFailureSnapshotVersion""],[""kind"",""RuntimeTaskFailureKind""],[""diagnostic"",""BoundedUtf8""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""closed failure kind"",""diagnostic bounded and nonidentity""]",[],reject,reject,reject
TaskObserverSnapshotV1,struct,True,1,"[[""version"",""TaskObserverSnapshotVersion""],[""observer_id"",""TaskObserverId""],[""generation"",""GenerationId""],[""need_id"",""NeedId""],[""kind"",""TaskObserverKindSnapshotV1""],[""last_seen"",""Option<TaskPublicationCursorSnapshotV1>""],[""active"",""bool""]]",[],"[""observer_id""]",ObserverId byte order,RuntimeSnapshotLimits owner,"[""generation equals active use generation"",""need exists"",""reverse Need observer list contains id"",""inactive observer cannot advance""]","[""TaskObserverKindSnapshotV1"",""TaskPublicationCursorSnapshotV1""]",reject,reject,reject
TaskObserverKindSnapshotV1,enum,False,,[],"[[""Await"",[[""fiber"",""RuntimeFiberId""]]],[""AwaitManyChild"",[[""aggregate_task"",""TaskId""],[""source_index"",""u32""]]],[""TimeoutSource"",[[""timeout_task"",""TaskId""]]],[""ViewMatch"",[[""view_instance"",""ViewInstanceIdProjection""],[""site"",""ViewMatchSiteIdProjection""]]]]",[],declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
RuntimeNeedHandleSnapshotV1,struct,True,1,"[[""version"",""RuntimeNeedHandleSnapshotVersion""],[""correlation"",""TaskCorrelationSnapshotV1""],[""producer"",""NeedProducerSpecSnapshotV1""],[""outcome"",""TaskOutcomeContractSnapshotV1""],[""origin"",""NeedHandleOriginSnapshotV1""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""semantic Eq/Hash/Ord remains NeedId-only"",""full structure validates at construction/restore/use boundaries"",""ordinary use generation must match active scheduler generation""]","[""TaskCorrelationSnapshotV1"",""NeedProducerSpecSnapshotV1"",""TaskOutcomeContractSnapshotV1"",""NeedHandleOriginSnapshotV1""]",reject,reject,reject
NeedHandleOriginSnapshotV1,struct,True,1,"[[""version"",""NeedHandleOriginSnapshotVersion""],[""accepted_site"",""Option<StableProducerSiteProjection>""],[""debug_label"",""Option<BoundedUtf8>""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""diagnostic/provenance only and excluded from canonical RuntimeValue identity""]",[],reject,reject,reject
TaskPublicationCursorSnapshotV1,struct,True,1,"[[""version"",""TaskPublicationCursorSnapshotVersion""],[""logical_epoch"",""u64""],[""sequence"",""u64""]]",[],[],declaration order,RuntimeSnapshotLimits owner,"[""monotonic per task; gaps rejected according to replay policy""]",[],reject,reject,reject
TaskEventSnapshotV1,struct,True,1,"[[""version"",""TaskEventSnapshotVersion""],[""correlation"",""TaskCorrelationSnapshotV1""],[""cursor"",""TaskPublicationCursorSnapshotV1""],[""kind"",""TaskEventKindSnapshotV1""],[""digest"",""TaskEventDigest""]]",[],[],fields above,RuntimeSnapshotLimits owner,"[""digest recomputed before state transition"",""event ordering key is generation, logical_epoch, sequence, task_id""]","[""TaskCorrelationSnapshotV1"",""TaskPublicationCursorSnapshotV1"",""TaskEventKindSnapshotV1""]",reject,reject,reject
TaskEventKindSnapshotV1,enum,False,,[],"[[""Progress"",[[""progress"",""ProgressSnapshotV1""]]],[""Ready"",[[""payload"",""RuntimePayloadSnapshotV1""]]],[""InfrastructureFailure"",[[""failure"",""RuntimeTaskFailureSnapshotV1""]]],[""Cancelled"",[]]]",[],declaration order,RuntimeSnapshotLimits owner,[],"[""ProgressSnapshotV1"",""RuntimePayloadSnapshotV1"",""RuntimeTaskFailureSnapshotV1""]",reject,reject,reject
TaskReplayStateSnapshotV1,struct,True,1,"[[""version"",""TaskReplayStateSnapshotVersion""],[""last_applied"",""Vec<TaskReplayCursorSnapshotV1>""],[""accepted_event_digests"",""Vec<TaskReplayDigestSnapshotV1>""]]",[],[],both vectors ascending TaskId,RuntimeSnapshotLimits owner,"[""keys unique; cursor/digest joins exact""]","[""TaskReplayCursorSnapshotV1"",""TaskReplayDigestSnapshotV1""]",reject,reject,reject
TaskReplayCursorSnapshotV1,struct,True,1,"[[""version"",""TaskReplayCursorSnapshotVersion""],[""task_id"",""TaskId""],[""cursor"",""TaskPublicationCursorSnapshotV1""]]",[],"[""task_id""]",declaration order,RuntimeSnapshotLimits owner,[],"[""TaskPublicationCursorSnapshotV1""]",reject,reject,reject
TaskReplayDigestSnapshotV1,struct,True,1,"[[""version"",""TaskReplayDigestSnapshotVersion""],[""task_id"",""TaskId""],[""cursor"",""TaskPublicationCursorSnapshotV1""],[""digest"",""TaskEventDigest""]]",[],"[""task_id"",""cursor""]",declaration order,RuntimeSnapshotLimits owner,[],"[""TaskPublicationCursorSnapshotV1""]",reject,reject,reject
TaskReplayEnvelopeV1,struct,True,1,"[[""version"",""TaskReplayEnvelopeVersion""],[""generation"",""GenerationId""],[""events"",""Vec<TaskEventSnapshotV1>""]]",[],[],events normalized by event ordering key,RuntimeSnapshotLimits owner,"[""generation matches every event"",""duplicates only allowed if exact digest matches""]","[""TaskEventSnapshotV1""]",reject,reject,reject
ReplacementStateSnapshotV1,enum,False,,[],"[[""Idle"",[]],[""Validated"",[[""plan"",""ReplacementPlanSnapshotV1""]]]]",[],declaration order,RuntimeSnapshotLimits owner,"[""Prepared adapter tokens are never persistable; snapshot fails while adapter prepare/commit is in flight""]","[""ReplacementPlanSnapshotV1""]",reject,reject,reject
ReplacementPlanSnapshotV1,struct,True,1,"[[""version"",""ReplacementPlanSnapshotVersion""],[""from_generation"",""GenerationId""],[""to_generation"",""GenerationId""],[""view_mappings"",""Vec<ReplacementViewMappingSnapshotV1>""],[""task_mappings"",""Vec<ReplacementTaskMappingSnapshotV1>""]]",[],[],view mappings by old site; task mappings by old TaskId,RuntimeSnapshotLimits owner,"[""to_generation differs from from_generation"",""mappings unique"",""NeedId and ordinal preserved; TaskKey/TaskId rederived for to_generation""]","[""ReplacementViewMappingSnapshotV1"",""ReplacementTaskMappingSnapshotV1""]",reject,reject,reject
ReplacementViewMappingSnapshotV1,struct,True,1,"[[""version"",""ReplacementViewMappingSnapshotVersion""],[""old_program"",""ViewProgramIdProjection""],[""old_revision"",""AcceptedViewProgramRevisionProjection""],[""old_site"",""ViewMatchSiteIdProjection""],[""new_program"",""ViewProgramIdProjection""],[""new_revision"",""AcceptedViewProgramRevisionProjection""],[""new_site"",""ViewMatchSiteIdProjection""]]",[],"[""old_program"",""old_site""]",declaration order,RuntimeSnapshotLimits owner,[],[],reject,reject,reject
ReplacementTaskMappingSnapshotV1,struct,True,1,"[[""version"",""ReplacementTaskMappingSnapshotVersion""],[""old"",""TaskCorrelationSnapshotV1""],[""new"",""TaskCorrelationSnapshotV1""],[""need_handle"",""RuntimeNeedHandleSnapshotV1""]]",[],"[""old.task_id""]",declaration order,RuntimeSnapshotLimits owner,"[""NeedId, producer, policy, ordinal equal old/new"",""generation, TaskKey and TaskId change consistently"",""handle rebound only by explicit replacement""]","[""TaskCorrelationSnapshotV1"",""RuntimeNeedHandleSnapshotV1""]",reject,reject,reject
RuntimePayloadSnapshotV1,struct,True,1,"[[""version"",""RuntimePayloadSnapshotVersion""],[""value"",""RuntimeValueSnapshotV1""]]",[],[],declaration order,RuntimeSnapshotLimits owner,[],"[""RuntimeValueSnapshotV1""]",reject,reject,reject
