path,old_authority,final_action,cut,proof
crates/arcweft-dialogue/src/character_dialogue/typed_value.rs,typed dialogue constant canonicalization without explicit fence,route through try_constant_canonical_bytes/validate_constant_admission,5,dialogue SnapshotOnly negative
crates/arcweft-dialogue/src/character_dialogue.rs,dialogue/config constant validation coupled to canonical identity,insert explicit recursive constant-admission fence,5,dialogue/config constant tests
crates/arcweft-dialogue/src/character_dialogue/schema.rs,schema constant encoding coupled to canonical identity,insert explicit constant-admission fence; no second serializer,5,schema encode negative
crates/arcweft-core/src/engine/suspend.rs,String NeedId and direct Await surrogate,"consume RuntimeNeedHandle, validate active generation before registering observer",5,cross-generation Await rejection before mutation
crates/arcweft-core/src/engine/flow.rs,Await/AwaitMany host-request-only construction,emit final TaskSpec with explicit TaskExecution; aggregate base is Runtime execution,5,host/runtime execution differential
crates/arcweft-core/src/awbc/vm.rs,NeedHandle represented as RuntimeValue::String and String await target,construct/consume RuntimeValue::NeedHandle and final TaskSpec,5,AWBC value-shape and String absence tests
crates/arcweft-core/src/awbc/fiber.rs,old Await/AwaitMany String snapshot fields,"replace atomically with RuntimeNeedHandle, observer and runtime aggregate snapshots",5,snapshot/replay exactness
crates/arcweft-core/src/awbc/product_step/lifecycle.rs,String NeedId lifecycle mapping,map typed correlation and NeedHandle only,5,product-step parity
crates/arcweft-core/src/awbc/product_step/suspension.rs,String suspension identity and host-only request,use TaskExecution and complete handle/correlation,5,suspension parity
crates/arcweft-core/src/awbc/product_step/mapping.rs,String Need/task projection,replace with fixed projections and rederived identity,5,mapping tamper
crates/arcweft-core/src/awbc/schema.rs,task plan Need String/self-digest or host-only assumptions,publish only final producer/execution rows; do not reopen retained numeric allocation,5,schema/API absence and semantic digest recomputation
crates/arcweft-core/src/awbc/verifier,NeedHandle admitted as Dynamic/String and task family inferred indirectly,"verify typed payload, family/execution/policy truth table and explicit runtime variants",5,negative verifier corpus
crates/arcweft-runtime-plan/src/final_flow.rs,indexed String suffix Need identity and host-only AwaitMany,build canonical child arguments and exact child TaskSpec rows; base uses Runtime AwaitMany,5,index boundary/determinism tests
crates/arcweft-runtime-plan/src/semantic_facts.rs,ownership rows without the corrected carrier matrix,consume exact 85-row classifier; Predicate leaf and Shared rejection,2,machine/prose/classifier parity
crates/arcweft-runtime-scheduler/src/lib.rs,separate lightweight RuntimeScheduler without journal/adapter/runtime task ownership,replace original owner with RuntimeTaskScheduler<A> and move all task state into it,5,single-owner dependency test; transaction tests
crates/arcweft-runtime-driver/src/task.rs,"second RuntimeTaskRegistry, String DTOs and HostTaskDispatch authority",delete registry/journal behavior; driver only calls RuntimeTaskScheduler APIs and transports typed events,5,type/API absence; no duplicate counter/journal
crates/arcweft-runtime-driver/src/swap.rs,driver-local GenerationId,delete original definition after every consumer imports arcweft_core::task::GenerationId,4/5,single-definition search plus compile
crates/arcweft-runtime-driver/src/generation_runtime.rs,consumer of driver-local GenerationId,import the core owner and delegate replacement task rebind to scheduler,5,replacement integration
crates/arcweft-host-adapter/src/lib.rs,host adapter boundary accepting whole TaskSpec/implicit host request,implement TaskLaunchAdapter only for TaskExecution::Host prepared tokens,5,runtime rows rejected before adapter call
crates/arcweft-runtime-host/src/native_task.rs,native task completion with partial identity,accept HostTaskLaunchRequest and emit complete TaskEvent correlation/cursor,5,native event parity
crates/arcweft-adapter-desktop/src/adapter.rs,desktop dispatch keyed by String task id,use prepared typed launch/rebind tokens and infallible commit,5,prepare rollback and replacement tests
crates/arcweft-adapter-desktop/src/codec.rs,desktop partial task/event DTO codec,replace with strict v1 projections; reject legacy/unknown/duplicate/trailing,5,codec negative corpus
crates/arcweft-player-web/src/host.rs,web host dispatch keyed by partial task identity,use HostTaskLaunchRequest and complete typed TaskEvent,5,web parity and tamper tests
crates/arcweft-agent-runner/src/host_request.rs,agent runner host request route with partial identity,consume Host TaskExecution only and preserve correlation,5,agent host parity
crates/arcweft-agent-runner/src/runtime_payload.rs,runtime payload conversions missing NeedHandle and corrected Agent carrier proof,add final exhaustive NeedHandle and exact carrier projections in the original match,5,exhaustive conversion tests
crates/arcweft-bundle/src/product.rs,persistent View/task row embedding compiler-local or partial identities,publish AcceptedViewMatchBundleRowV1 projection only in Cut 5,5,forbidden-field structural inspection
crates/arcweft-bundle/src/container.rs,bundle container/product codec routes that would accept old String/Serde task/Need shapes,add strict purpose-built v1 task/View projection sections through the existing container owner; no translation path,5,old bytes/unknown tag/duplicate/trailing rejection
crates/arcweft-view/src/view/identity.rs,temptation to invent ViewProgramSemanticDigest or numeric revision,retain original ViewProgramId and AcceptedViewProgramRevision([u8;32]) roles,3/5,type/API absence
crates/arcweft-compiler/src/view.rs,compiler-local Match row copied into persistent product,keep CheckedMatchRef only in CompilerLocalViewMatchCatalogRow; project digests in Cut 5,3/5,bundle forbidden-field test
crates/arcweft-lang-sema/src/final_analysis/model.rs,session-local semantic facts lacking stable transcript projections,add inherent/same-module semantic transcript implementation over exact current variants; no generic Serde,1,variant exhaustiveness and allocation/span differential
crates/arcweft-lang-sema/src/final_analysis/report.rs,lookup by ExprId without exact snapshot-bound Match reference,construct CheckedMatchRef from the report's exact HirSnapshotId plus ExprId; do not mint AcceptedSemanticGeneration,1,stale snapshot negative
crates/arcweft-lang-sema/src/types.rs,ownership classifier with Predicate child recursion or optimistic Shared,regenerate exhaustive 85-variant match; Predicate leaf; Shared MissingRuntimeSnapshotOwner,2,classifier/machine/prose parity
crates/arcweft-core/src/tests/flow.rs,String Need/task fixtures,replace with typed transcript builders and host/runtime execution rows,5,workspace test compile
crates/arcweft-core/tests/direct_suspension.rs,String direct-Await fixtures,replace with RuntimeNeedHandle and active-generation validation,5,negative stale generation
crates/arcweft-agent-runner/src/tests.rs,partial host task/Need fixture shapes,replace with complete TaskCorrelation and event envelopes,5,agent parity
