ordinal	id	logic	benchmark	expected	oxiz_recorded	source_path	awft_path	expected_smt_path	expected_smt_sha256
11	AUFLIRA.auflira_array_func	AUFLIRA	auflira_array_func.smt2	unsat	unsat	bench/z3_parity/benchmarks/AUFLIRA/auflira_array_func.smt2	awft/AUFLIRA/auflira_array_func.awft	expected_smt2/AUFLIRA/auflira_array_func.smt2	2fc06ce454d9da5dacdc1255047493b9510b61621dfd5ea8e5491ab0cbe377ae
12	AUFLIRA.auflira_basic_sat	AUFLIRA	auflira_basic_sat.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIRA/auflira_basic_sat.smt2	awft/AUFLIRA/auflira_basic_sat.awft	expected_smt2/AUFLIRA/auflira_basic_sat.smt2	98fa864bcb76aa657fdee85be618c960e9b8333f4c044b7473d9cc61b0141b48
13	AUFLIRA.auflira_mixed_arith	AUFLIRA	auflira_mixed_arith.smt2	unsat	unsat	bench/z3_parity/benchmarks/AUFLIRA/auflira_mixed_arith.smt2	awft/AUFLIRA/auflira_mixed_arith.awft	expected_smt2/AUFLIRA/auflira_mixed_arith.smt2	1b7dd247a876f8aa43e936a5a1a30288fa0669b51598df3af1512edea85b0964
14	AUFLIRA.auflira_quantified	AUFLIRA	auflira_quantified.smt2	unsat	unsat	bench/z3_parity/benchmarks/AUFLIRA/auflira_quantified.smt2	awft/AUFLIRA/auflira_quantified.awft	expected_smt2/AUFLIRA/auflira_quantified.smt2	377f5d7cb5646053666b02806d1f5878189109d5b4f33632bb576c80dd10f118
15	AUFLIRA.auflira_unsat	AUFLIRA	auflira_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/AUFLIRA/auflira_unsat.smt2	awft/AUFLIRA/auflira_unsat.awft	expected_smt2/AUFLIRA/auflira_unsat.smt2	a9d46c50de736a14fd530f6835d2258e2440bc30dadb71f0e6a3338659fafa88
16	QF_ABV.qf_abv_bv_arith	QF_ABV	qf_abv_bv_arith.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_ABV/qf_abv_bv_arith.smt2	awft/QF_ABV/qf_abv_bv_arith.awft	expected_smt2/QF_ABV/qf_abv_bv_arith.smt2	5bf87be813714e116cace131a1966c9fbf11bd284ca1f5a0545cb2d7d7ffc52c
17	QF_ABV.qf_abv_contradiction	QF_ABV	qf_abv_contradiction.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_ABV/qf_abv_contradiction.smt2	awft/QF_ABV/qf_abv_contradiction.awft	expected_smt2/QF_ABV/qf_abv_contradiction.smt2	6ae36ecd1ac7cc79ae2479e89050af2b76b00704408dca848a6f20687105ec93
18	QF_ABV.qf_abv_overflow	QF_ABV	qf_abv_overflow.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_ABV/qf_abv_overflow.smt2	awft/QF_ABV/qf_abv_overflow.awft	expected_smt2/QF_ABV/qf_abv_overflow.smt2	854dec148355f30d02657ad20b0836b4da8f545475c8d901dfd2ad7c52a4d3f1
19	QF_ABV.qf_abv_store_chain	QF_ABV	qf_abv_store_chain.smt2	sat	sat	bench/z3_parity/benchmarks/QF_ABV/qf_abv_store_chain.smt2	awft/QF_ABV/qf_abv_store_chain.awft	expected_smt2/QF_ABV/qf_abv_store_chain.smt2	46bba31183bbe390d1bacb647205f49bc32b45da373027bcea4bf4ba41c86995
20	QF_ABV.qf_abv_store_select_sat	QF_ABV	qf_abv_store_select_sat.smt2	sat	sat	bench/z3_parity/benchmarks/QF_ABV/qf_abv_store_select_sat.smt2	awft/QF_ABV/qf_abv_store_select_sat.awft	expected_smt2/QF_ABV/qf_abv_store_select_sat.smt2	ffb0e853b7aae9ec354245b78f31e49b80062ed6071d50906a24fb7aa5a910d7
21	QF_ALIA.array_int_basic	QF_ALIA	array_int_basic.smt2	sat	sat	bench/z3_parity/benchmarks/QF_ALIA/array_int_basic.smt2	awft/QF_ALIA/array_int_basic.awft	expected_smt2/QF_ALIA/array_int_basic.smt2	3f78852d7a6fa54f1065098d42a8c0a52ff00e61303dd085dc66513680ac997c
22	QF_ALIA.array_int_const_array	QF_ALIA	array_int_const_array.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_ALIA/array_int_const_array.smt2	awft/QF_ALIA/array_int_const_array.awft	expected_smt2/QF_ALIA/array_int_const_array.smt2	972bff0645aa8569ff04ed283d9938aac451568b3b8a47e5e5dda56fcddfdc63
23	QF_ALIA.array_int_sorted	QF_ALIA	array_int_sorted.smt2	sat	sat	bench/z3_parity/benchmarks/QF_ALIA/array_int_sorted.smt2	awft/QF_ALIA/array_int_sorted.awft	expected_smt2/QF_ALIA/array_int_sorted.smt2	437ca6b8b2675c8c7f3e78aad409ef7c9c8a9d48b82d142ef120ecce1b8f565a
24	QF_ALIA.array_int_sum_pattern	QF_ALIA	array_int_sum_pattern.smt2	sat	sat	bench/z3_parity/benchmarks/QF_ALIA/array_int_sum_pattern.smt2	awft/QF_ALIA/array_int_sum_pattern.awft	expected_smt2/QF_ALIA/array_int_sum_pattern.smt2	49d222f8aee347f5b43b60920c1b941bd8aeb9d359c3ccdff6eae306f9c9bf63
25	QF_ALIA.array_int_unsat	QF_ALIA	array_int_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_ALIA/array_int_unsat.smt2	awft/QF_ALIA/array_int_unsat.awft	expected_smt2/QF_ALIA/array_int_unsat.smt2	8562b2bc197ba9077980bfb21e3354316ba7710244602029f22e16df42212ebc
26	QF_AUFBV.array_bv_equality	QF_AUFBV	array_bv_equality.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_AUFBV/array_bv_equality.smt2	awft/QF_AUFBV/array_bv_equality.awft	expected_smt2/QF_AUFBV/array_bv_equality.smt2	5bc3c5fb9095986fe207c35386331ed77a1393ba02c4297d6c8ced0d47f49c75
27	QF_AUFBV.array_bv_ite_select	QF_AUFBV	array_bv_ite_select.smt2	sat	sat	bench/z3_parity/benchmarks/QF_AUFBV/array_bv_ite_select.smt2	awft/QF_AUFBV/array_bv_ite_select.awft	expected_smt2/QF_AUFBV/array_bv_ite_select.smt2	d7200d2a95055f0c3a9cbb29c4243847b2094ddd7ab47fd2f55fca6764645c77
28	QF_AUFBV.array_bv_multi_store	QF_AUFBV	array_bv_multi_store.smt2	sat	sat	bench/z3_parity/benchmarks/QF_AUFBV/array_bv_multi_store.smt2	awft/QF_AUFBV/array_bv_multi_store.awft	expected_smt2/QF_AUFBV/array_bv_multi_store.smt2	40c74a50057a1258dbf03869195fe3233a95c85b83845b2141c07321e779af78
29	QF_AUFBV.array_bv_store_select	QF_AUFBV	array_bv_store_select.smt2	sat	sat	bench/z3_parity/benchmarks/QF_AUFBV/array_bv_store_select.smt2	awft/QF_AUFBV/array_bv_store_select.awft	expected_smt2/QF_AUFBV/array_bv_store_select.smt2	ea4a1d14d23cd0cb8ea81f83dc9c338afa9e9984512819988ef2b10c6e43d82e
30	QF_AUFBV.array_bv_unsat_conflict	QF_AUFBV	array_bv_unsat_conflict.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_AUFBV/array_bv_unsat_conflict.smt2	awft/QF_AUFBV/array_bv_unsat_conflict.awft	expected_smt2/QF_AUFBV/array_bv_unsat_conflict.smt2	b93168e2270cf87af6d47dcf1c15f1fc572881addff61577da43c0651f15fe39
31	QF_AUFLIA.uf_array_int	QF_AUFLIA	uf_array_int.smt2	sat	sat	bench/z3_parity/benchmarks/QF_AUFLIA/uf_array_int.smt2	awft/QF_AUFLIA/uf_array_int.awft	expected_smt2/QF_AUFLIA/uf_array_int.smt2	4107731e57c2e4e72662ce2f9901d5f96df93eda4cf8cc769adb26bbae6d05db
32	QF_AUFLIA.uf_array_int_trans	QF_AUFLIA	uf_array_int_trans.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_AUFLIA/uf_array_int_trans.smt2	awft/QF_AUFLIA/uf_array_int_trans.awft	expected_smt2/QF_AUFLIA/uf_array_int_trans.smt2	3bd24127ac6c741b2e1c20f794be7847e503bd89ac4a2218da6aab65cecfb3c4
33	QF_AUFLIA.uf_array_model	QF_AUFLIA	uf_array_model.smt2	sat	sat	bench/z3_parity/benchmarks/QF_AUFLIA/uf_array_model.smt2	awft/QF_AUFLIA/uf_array_model.awft	expected_smt2/QF_AUFLIA/uf_array_model.smt2	f6e3edd57830a4655424f7a53a50cb24921e933d16947ecd399ff52a5e97d9bc
34	QF_AUFLIA.uf_array_store_func	QF_AUFLIA	uf_array_store_func.smt2	sat	sat	bench/z3_parity/benchmarks/QF_AUFLIA/uf_array_store_func.smt2	awft/QF_AUFLIA/uf_array_store_func.awft	expected_smt2/QF_AUFLIA/uf_array_store_func.smt2	28d7c250f86fea510ef26f748cc8e1182d2e29c77918e451fdd62a06332266c8
35	QF_AUFLIA.uf_array_unsat	QF_AUFLIA	uf_array_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_AUFLIA/uf_array_unsat.smt2	awft/QF_AUFLIA/uf_array_unsat.awft	expected_smt2/QF_AUFLIA/uf_array_unsat.smt2	9a0218b636f45a7e6659b2073f9c42a40dbab10baf1664f6f04dd265e3027e3c
36	QF_NIRA.qf_nira_basic_sat	QF_NIRA	qf_nira_basic_sat.smt2	sat	sat	bench/z3_parity/benchmarks/QF_NIRA/qf_nira_basic_sat.smt2	awft/QF_NIRA/qf_nira_basic_sat.awft	expected_smt2/QF_NIRA/qf_nira_basic_sat.smt2	0c39de820a21a4c30bb1ac0539d7fdd62d12812c3fe2974fd6ff3ee182ca7e50
37	QF_NIRA.qf_nira_mixed	QF_NIRA	qf_nira_mixed.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_NIRA/qf_nira_mixed.smt2	awft/QF_NIRA/qf_nira_mixed.awft	expected_smt2/QF_NIRA/qf_nira_mixed.smt2	c2e492b734acb369e30bdc4f9db3c7b97b222d5c0b83eb88c51ccbd07650b789
38	QF_NIRA.qf_nira_product_sat	QF_NIRA	qf_nira_product_sat.smt2	sat	sat	bench/z3_parity/benchmarks/QF_NIRA/qf_nira_product_sat.smt2	awft/QF_NIRA/qf_nira_product_sat.awft	expected_smt2/QF_NIRA/qf_nira_product_sat.smt2	a380c166378cf9836809f4f7b29cf46d697d2ba0e4964e399520a036a331f360
39	QF_NIRA.qf_nira_real_poly	QF_NIRA	qf_nira_real_poly.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_NIRA/qf_nira_real_poly.smt2	awft/QF_NIRA/qf_nira_real_poly.awft	expected_smt2/QF_NIRA/qf_nira_real_poly.smt2	93d7cfa41480701105ad44f1b00f00fdebfdf5a2e7b06d02a040ea490823138c
40	QF_NIRA.qf_nira_unsat	QF_NIRA	qf_nira_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_NIRA/qf_nira_unsat.smt2	awft/QF_NIRA/qf_nira_unsat.awft	expected_smt2/QF_NIRA/qf_nira_unsat.smt2	479e61b58f632ac28c062d689d22a11705c57253fb8b4e5478cdb42800d25279
41	QF_UFLIA.uf_int_basic	QF_UFLIA	uf_int_basic.smt2	sat	sat	bench/z3_parity/benchmarks/QF_UFLIA/uf_int_basic.smt2	awft/QF_UFLIA/uf_int_basic.awft	expected_smt2/QF_UFLIA/uf_int_basic.smt2	0ed2aa2477dccf71cb2f05f0bdb2b1187566899aa4730763305ba918e09394c0
42	QF_UFLIA.uf_int_congruence	QF_UFLIA	uf_int_congruence.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_UFLIA/uf_int_congruence.smt2	awft/QF_UFLIA/uf_int_congruence.awft	expected_smt2/QF_UFLIA/uf_int_congruence.smt2	b706f1b92b91291703a76303f15ffba73b51da5da9aee69ba095f11a6fda252f
43	QF_UFLIA.uf_int_inject	QF_UFLIA	uf_int_inject.smt2	sat	sat	bench/z3_parity/benchmarks/QF_UFLIA/uf_int_inject.smt2	awft/QF_UFLIA/uf_int_inject.awft	expected_smt2/QF_UFLIA/uf_int_inject.smt2	76ed309446298884447c154f13807626bec1e68db58fa3632f50e0b98c7a2e0c
44	QF_UFLIA.uf_int_monotone	QF_UFLIA	uf_int_monotone.smt2	sat	sat	bench/z3_parity/benchmarks/QF_UFLIA/uf_int_monotone.smt2	awft/QF_UFLIA/uf_int_monotone.awft	expected_smt2/QF_UFLIA/uf_int_monotone.smt2	3c83c409b415c176535e1de266084e44a296ebcb1e18e427215f957ce348faa5
45	QF_UFLIA.uf_int_unsat	QF_UFLIA	uf_int_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_UFLIA/uf_int_unsat.smt2	awft/QF_UFLIA/uf_int_unsat.awft	expected_smt2/QF_UFLIA/uf_int_unsat.smt2	d2e7ec852cf6d09ca02f008b386a4837133cf7d91076cce9fade5a1f827f35eb
46	QF_UFLRA.uf_real_abs	QF_UFLRA	uf_real_abs.smt2	sat	sat	bench/z3_parity/benchmarks/QF_UFLRA/uf_real_abs.smt2	awft/QF_UFLRA/uf_real_abs.awft	expected_smt2/QF_UFLRA/uf_real_abs.smt2	a024c44f1c4f248e28d27f83ce5659eec8cd7fb248c1329823fca484365f8beb
47	QF_UFLRA.uf_real_basic	QF_UFLRA	uf_real_basic.smt2	sat	sat	bench/z3_parity/benchmarks/QF_UFLRA/uf_real_basic.smt2	awft/QF_UFLRA/uf_real_basic.awft	expected_smt2/QF_UFLRA/uf_real_basic.smt2	f4f15623c42dfb5d5ac57d1082f1f5e44bfd0a0906e4b53a46d4d1ff7e8642c7
48	QF_UFLRA.uf_real_interp	QF_UFLRA	uf_real_interp.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_UFLRA/uf_real_interp.smt2	awft/QF_UFLRA/uf_real_interp.awft	expected_smt2/QF_UFLRA/uf_real_interp.smt2	f7cd750d2f7efb8643e8ca23e35aa254cd1d44e8a36895df2b745b5a1a6526cf
49	QF_UFLRA.uf_real_linear	QF_UFLRA	uf_real_linear.smt2	sat	sat	bench/z3_parity/benchmarks/QF_UFLRA/uf_real_linear.smt2	awft/QF_UFLRA/uf_real_linear.awft	expected_smt2/QF_UFLRA/uf_real_linear.smt2	7bf56bf5fa4784f2831e94485cdb7fa36e653dec3655c99ff1aa5b99f4119680
50	QF_UFLRA.uf_real_unsat	QF_UFLRA	uf_real_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/QF_UFLRA/uf_real_unsat.smt2	awft/QF_UFLRA/uf_real_unsat.awft	expected_smt2/QF_UFLRA/uf_real_unsat.smt2	1a973289c25ad18f35e09bb5c89cac27dedc524de7253122a83e9a860bee191f
51	UFLIA.ackermann	UFLIA	ackermann.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/ackermann.smt2	awft/UFLIA/ackermann.awft	expected_smt2/UFLIA/ackermann.smt2	2aba6e8abf4c56d22b19ab57062a2c4f492bfd7d8fbe6df367c384356922e215
52	UFLIA.arith_unsat	UFLIA	arith_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/UFLIA/arith_unsat.smt2	awft/UFLIA/arith_unsat.awft	expected_smt2/UFLIA/arith_unsat.smt2	1bf6dd31292121ff4f66977c844fc554f4c5cc98989e08a0d68dfe8d94480cf0
53	UFLIA.congruence_closure	UFLIA	congruence_closure.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/congruence_closure.smt2	awft/UFLIA/congruence_closure.awft	expected_smt2/UFLIA/congruence_closure.smt2	4c34b935eb0a3934967d9c5d8171d77354afcd77841c2cff3c33b3f1efdef641
54	UFLIA.division_property	UFLIA	division_property.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/division_property.smt2	awft/UFLIA/division_property.awft	expected_smt2/UFLIA/division_property.smt2	7d41d945b47f036f68b23dfd4cdff703bd4f8fdb12494f22c5aa717a1bb2d60b
55	UFLIA.forall_exists_simple	UFLIA	forall_exists_simple.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/forall_exists_simple.smt2	awft/UFLIA/forall_exists_simple.awft	expected_smt2/UFLIA/forall_exists_simple.smt2	5baadf905c0cb1e1cf15eca54d7d51f5bb0f0861502d614fcdb58bab8c75400c
56	UFLIA.forall_exists_unsat	UFLIA	forall_exists_unsat.smt2	unsat	sat	bench/z3_parity/benchmarks/UFLIA/forall_exists_unsat.smt2	awft/UFLIA/forall_exists_unsat.awft	expected_smt2/UFLIA/forall_exists_unsat.smt2	8c6fb87212704f6d3acf0b50a6d7b9f15ba85724b3a84e0317ba28452db6bea9
57	UFLIA.idempotent	UFLIA	idempotent.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/idempotent.smt2	awft/UFLIA/idempotent.awft	expected_smt2/UFLIA/idempotent.smt2	62810138a603f4546e7e97dd60ac7ffb0cedd228d160b44bc3ed820623ef5da6
58	UFLIA.injective	UFLIA	injective.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/injective.smt2	awft/UFLIA/injective.awft	expected_smt2/UFLIA/injective.smt2	3571cd3e036abe82c234f16916120fd79a6ec03b876bf163bf93410ca27640bf
59	UFLIA.injective_unsat	UFLIA	injective_unsat.smt2	unsat	sat	bench/z3_parity/benchmarks/UFLIA/injective_unsat.smt2	awft/UFLIA/injective_unsat.awft	expected_smt2/UFLIA/injective_unsat.smt2	025ec53c91a4a92843f7da893be91dad1dcc5645fcb226fce658c79007ba0953
60	UFLIA.linear_order	UFLIA	linear_order.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/linear_order.smt2	awft/UFLIA/linear_order.awft	expected_smt2/UFLIA/linear_order.smt2	e1091730416dc776fb3e387374cb527e790a9b411c4f5882a4f47a3ff0df121d
61	UFLIA.monotone_basic	UFLIA	monotone_basic.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/monotone_basic.smt2	awft/UFLIA/monotone_basic.awft	expected_smt2/UFLIA/monotone_basic.smt2	8262c82c3e5db3a353689b9e46975bccbb3a6f05c9ec9791371f80f901e4e8fa
62	UFLIA.monotone_violation	UFLIA	monotone_violation.smt2	unsat	unsat	bench/z3_parity/benchmarks/UFLIA/monotone_violation.smt2	awft/UFLIA/monotone_violation.awft	expected_smt2/UFLIA/monotone_violation.smt2	d27806a2f9e0de7f54a55f353bf8a6d908d6ee1d7940869ac71b4d89f3b63702
63	UFLIA.nested_quantifiers	UFLIA	nested_quantifiers.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/nested_quantifiers.smt2	awft/UFLIA/nested_quantifiers.awft	expected_smt2/UFLIA/nested_quantifiers.smt2	83169d886ef81a5109439435048cc7b008f135179c2dd436c27dedf34137a257
64	UFLIA.pigeonhole_3	UFLIA	pigeonhole_3.smt2	unsat	sat	bench/z3_parity/benchmarks/UFLIA/pigeonhole_3.smt2	awft/UFLIA/pigeonhole_3.awft	expected_smt2/UFLIA/pigeonhole_3.smt2	44be3bd03f99b9828625843167cc82a663dab3badfcede54b4e9a7d1d7e91e55
65	UFLIA.reflexivity	UFLIA	reflexivity.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/reflexivity.smt2	awft/UFLIA/reflexivity.awft	expected_smt2/UFLIA/reflexivity.smt2	24efd8220e965d2c351293268971d227c7f699f616006e755375287aa05969c0
66	UFLIA.skolem_test	UFLIA	skolem_test.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/skolem_test.smt2	awft/UFLIA/skolem_test.awft	expected_smt2/UFLIA/skolem_test.smt2	d3e5d30c9d768b736bb0851ed2f1f5a7bdb427724f653054c8d63e34c974fd1e
67	UFLIA.sum_bounds	UFLIA	sum_bounds.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/sum_bounds.smt2	awft/UFLIA/sum_bounds.awft	expected_smt2/UFLIA/sum_bounds.smt2	c4cf3b3ce8292f2467ac32bad21ad6d1bef0f8f31896cbb39ced338a2d7d7a4c
68	UFLIA.surjective	UFLIA	surjective.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/surjective.smt2	awft/UFLIA/surjective.awft	expected_smt2/UFLIA/surjective.smt2	1b0051d6b622093784bf931e898e5fd8009de8c12aea45f1085100375fc977d4
69	UFLIA.trans_simple	UFLIA	trans_simple.smt2	sat	sat	bench/z3_parity/benchmarks/UFLIA/trans_simple.smt2	awft/UFLIA/trans_simple.awft	expected_smt2/UFLIA/trans_simple.smt2	0888fefec75df59acfa0318e9dc2f86f7a4b045f7ae0e8b307bd77f76aec21f3
70	UFLIA.trans_unsat	UFLIA	trans_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/UFLIA/trans_unsat.smt2	awft/UFLIA/trans_unsat.awft	expected_smt2/UFLIA/trans_unsat.smt2	69708329f91f99fbcd3793979aa0a7da309e5633facac1a60640ba659e5f9ba9
71	UFLRA.real_archimedean	UFLRA	real_archimedean.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_archimedean.smt2	awft/UFLRA/real_archimedean.awft	expected_smt2/UFLRA/real_archimedean.smt2	2614336f018e6f6e75008cc4c58a462b6dfbfb1fc1246c3a3fe8289534aec5f3
72	UFLRA.real_bounds	UFLRA	real_bounds.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_bounds.smt2	awft/UFLRA/real_bounds.awft	expected_smt2/UFLRA/real_bounds.smt2	d35896b6e144b78803c7b6aa83ac6b801d9f04942ddd4a1dfa6272d15cf1efc9
73	UFLRA.real_composition	UFLRA	real_composition.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_composition.smt2	awft/UFLRA/real_composition.awft	expected_smt2/UFLRA/real_composition.smt2	78699285c7c8a422be851f238f90056c1658f31bb469bd366dbaef9b8ac91b16
74	UFLRA.real_convex	UFLRA	real_convex.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_convex.smt2	awft/UFLRA/real_convex.awft	expected_smt2/UFLRA/real_convex.smt2	d865a47fe09fc56702d733e14ce9cd99acac2793e1c53d668e3872215a09698a
75	UFLRA.real_fixed_point	UFLRA	real_fixed_point.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_fixed_point.smt2	awft/UFLRA/real_fixed_point.awft	expected_smt2/UFLRA/real_fixed_point.smt2	f185f988907ba1919f86d254053981ed55086c37815a4b490560d7aeec3a3929
76	UFLRA.real_identity	UFLRA	real_identity.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_identity.smt2	awft/UFLRA/real_identity.awft	expected_smt2/UFLRA/real_identity.smt2	51916ec8484ddee7479eee6b10cf3016a90364f7f72e7a55099b6883794d12b1
77	UFLRA.real_interp	UFLRA	real_interp.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_interp.smt2	awft/UFLRA/real_interp.awft	expected_smt2/UFLRA/real_interp.smt2	78614d006a6c2ed0b07d1095367ba3d975a1b16c24c654668354ff67e57b1d30
78	UFLRA.real_lipschitz	UFLRA	real_lipschitz.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_lipschitz.smt2	awft/UFLRA/real_lipschitz.awft	expected_smt2/UFLRA/real_lipschitz.smt2	66cf65d0e7a6f6db08ad833e57cedb3f4d953346bcba7c35ba735ae502f8a712
79	UFLRA.real_monotone	UFLRA	real_monotone.smt2	sat	sat	bench/z3_parity/benchmarks/UFLRA/real_monotone.smt2	awft/UFLRA/real_monotone.awft	expected_smt2/UFLRA/real_monotone.smt2	c3fe50fca9bd64614775b62c0394a28efac864f1762451bc6a153346ba1a0dbc
80	UFLRA.real_unsat	UFLRA	real_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/UFLRA/real_unsat.smt2	awft/UFLRA/real_unsat.awft	expected_smt2/UFLRA/real_unsat.smt2	35d019b4c753b9dd141f23a457203c467eb740962e99c221cb5197c67a0ec3ae
81	qf_a.array_01	qf_a	array_01.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_01.smt2	awft/qf_a/array_01.awft	expected_smt2/qf_a/array_01.smt2	ad49de2427f18f3ac1fc788b4865df3920b0d20ad44d5c124b2c91b2c014ef3a
82	qf_a.array_02	qf_a	array_02.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_02.smt2	awft/qf_a/array_02.awft	expected_smt2/qf_a/array_02.smt2	10781a2243dc0f85f4076ea98a0e68d2ed5836d57d609014894f2a68a566d99d
83	qf_a.array_03	qf_a	array_03.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_a/array_03.smt2	awft/qf_a/array_03.awft	expected_smt2/qf_a/array_03.smt2	bc0470c7ad3afd0851fed48d0631551fbf32856449d0dfea4e1862d0fe8026d8
